ConstID	CopyrightNoticeEN	CopyrightNoticeAR	TranslatorEN	TranslatorAR	F	G	H	I	J	K
"Netherlands_2008"	""	""	""	"ترجمة المؤسسة الدولية للديمقراطية والانتخابات؛ تحديث مشروع الدساتير المقارنة"						
"Nicaragua_2014"	"© Oxford University Press, Inc."	""	"Translated by Max Planck Institute"	""						
"Niger_2010"	"English Translation © 2012 by William S. Hein & Co., Inc.  All rights reserved."	""	"Translated by Maria del Carmen Gress"	""						
"Norway_2016"	""	""	""	"ترجمة المؤسسة الدولية للديمقراطية والانتخابات؛ تحديث مشروع الدساتير المقارنة"						
"Pakistan_2015"	""	""	""	"ترجمة المؤسسة الدولية للديمقراطية والانتخابات؛ تحديث مشروع الدساتير المقارنة"						
"Paraguay_2011"	"English Translation © 2012 by William S. Hein & Co., Inc.  All rights reserved."	""	"Translated by Maria del Carmen Gress"	"ترجمة المؤسسة الدولية للديمقراطية والانتخابات؛ تحديث مشروع الدساتير المقارنة"						
"Peru_2009"	""	""	""	"ترجمة المؤسسة الدولية للديمقراطية والانتخابات؛ تحديث مشروع الدساتير المقارنة"						
"Poland_2009"	""	""	""	"ترجمة المؤسسة الدولية للديمقراطية والانتخابات؛ تحديث مشروع الدساتير المقارنة"						
"Portugal_2005"	""	""	""	"ترجمة المؤسسة الدولية للديمقراطية والانتخابات؛ تحديث مشروع الدساتير المقارنة"						
"Qatar_2003"	"© Oxford University Press, Inc."	""	"Translated by Dr. Fouad Fahmy Shafik"	""						
"Russia_2014"	""	""	""	"ترجمة المؤسسة الدولية للديمقراطية والانتخابات؛ تحديث مشروع الدساتير المقارنة"						
"Sao_Tome_and_Principe_1990"	"© Oxford University Press, Inc."	""	""	""						
"Senegal_2009"	"English Translation © 2012 by William S. Hein & Co., Inc.  All rights reserved."	""	"Translated by Jefri J. Ruchti"	""						
"Solomon_Islands_2014"	"© Oxford University Press, Inc."	""	""	""						
"Taiwan_2005"	"© Oxford University Press, Inc."	""	"Translated by Max Planck Institute"	""						
"Tajikistan_2003"	"© Oxford University Press, Inc."	""	"Translated by Patricie H. Ward"	""						
"Tanzania_1995"	"© Oxford University Press, Inc."	""	""	""						
"Thailand_2014"	"© Pakorn Nilprapunt"	""	"Translated by Pakorn Nilprapunt"	""						
"Togo_2007"	"English Translation © 2012 by William S. Hein & Co., Inc.  All rights reserved."	""	"Translated by Jefri J. Ruchti"	""						
"Turkey_2011"	""	""	""	"ترجمة المؤسسة الدولية للديمقراطية والانتخابات؛ تحديث مشروع الدساتير المقارنة"						
"Ukraine_2014"	""	"النص مقدم من  المنظمة  الدولية للتقرير عن الديمقراطية؛ تحديث مشروع الدساتير المقارنة"	""	""						
"United_States_of_America_1992"	""	"النص مقدم من وزارة الخارجية الأمريكية؛ قام بالتحديث مشروع الدساتير المقارنة"	""	""						
"Uruguay_2004"	"English Translation © 2012 by William S. Hein & Co., Inc.  All rights reserved."	""	"Amendments translated by Jefri J. Ruchti"	""						
"Vanuatu_1983"	"© Oxford University Press, Inc."	""	""	""						
"Venezuela_2009"	"English Translation of amended Articles 160, 162, 174, 192, and 230 © 2012 by William S. Hein & Co., Inc.  All rights reserved."	""	"Amendment translated by Jefri J. Ruchti"	"ترجمة المؤسسة الدولية للديمقراطية والانتخابات؛ تحديث مشروع الدساتير المقارنة"						
