A	B	C	D	E	F	G	Inyourownwords,pleaseprovideabriefdescriptionofSNAPbenefits.	Inyourownwords,pleaseprovideabriefdescriptionoftheSocialDeterminantsofHealth.	Onascalefrom1to5,howdidtheSNAPexperienceaffectyourknowledgeofSDHcomparedtoalecture?1=vastincreaseinknowledgecomparedtolecture2=someincreaseinknowledgecomparedtolectu	DidyourexperiencewiththeSNAPChallengehelpyouunderstandyourpatients'constraintsrelatedtodietandfoodinsecurity?	DescribehowtheSNAPexperiencehelpedyouunderstandyourpatients'constraintsrelatedtodietandfoodinsecurity.Ifnotatall,pleaseinsertNA.	Comparedtoyourpeers,howcomfortable areyouwiththepatientcenteredapproachtofoodinsecurity?	HaveyouleveragedyourknowledgefromtheSNAPexperiencetohelpyourpatients	ExplainhowyouleveragedyourknowledgefromtheSNAPexperiencetohelppatients? 	HaveyoustayedcurrentwithlegislationandrulesaboutSNAPbenefits?	AreyoufamiliarwiththecurrentstateofSNAPbenefitsandlegislation?chooseallthatapply	Onascaleof1to5,howlikelyareyoutorecommendtheSNAPexperienceasalearningactivityformedicalstudents?1=wouldstronglynotrecommend2=wouldnotrecommend3=neutral4=wouldrecommen	CompareyourSNAPexperienceinLICtoyourpovertysimulationexperienceduringorientation.Onascalefrom1to5,howeffectivewastheSNAPexperienceinhelpingyouunderstanddietaryconstraint	Howmuchdidtheassigned"diseasestate"impactyourempathyforyourpatientsstrugglingwithfoodinsecurity?
9.0	"5/55/2024  2:24:08 PM"	45427.60902777778	"anonymous"		"I agree"	45427.0	"SNAP Benefits are welfare services provided to low-income families that allow them to purchase groceries that their income would not permit. "	"Social Determinants of health are the conditions in which each individual grow, live, learn, and work. These are factors that include access to resources, good education, adequate housing, safety, etc. These SDoH account for about 60-80% of our health outside of direct medical care. "	"4"	"4"	"It opened my eyes to how truly expensive groceries are as well as how limited the selection might be for purchasers. I could not imagine feeding myself solely on this budget, let alone an entire family (amount of SNAP benefits is adjusted to family size). As a future doctor, it makes me think more about how I see the healthy diet component to our recommendations, and how difficult it is to live a healthy life within this budget. Especially if you have a disease like diabetes, hyperlipidemia, or hypertension, it must be particularly difficult to limit your options even more. I can't imagine having these constraints while working a full time job, going to school, and/or while raising children. "	"3"	"3"	"At Akron General, we have a food pantry as well as a pilot program that helps provide lower income patients with food. Knowing the constraints of SNAP, I have recommended these resources in order to provide additional support. "	"1"	"Benefits are decreasing"	"4"	"5"	"4"
10.0	"45427.746527777781"	45427.75208333333	"anonymous"		"I agree"	45427.0	"Federal government program that provides participants with monetary assistance in obtaining access to foods. "	"SDOH encompass variety of factors ranging from financial to housing to education issues. They impact the opportunities that we can have access to in life."	"4"	"3"	"the SNAP exercise provided a realistic exposure to the realities that people/patients face on a daily basis. The exercise made me think about the helplessness and stress that patients go through in trying to navigate different public systems in trying to obtain food for themselves and their families. "	"3"	"3"	"Try to refer them to social worker or provide them with resources"	"1"	"No I wouldn't have had time to research the current state of SNAP benefits"	"4"	"3"	"3"
11.0	"45427.936805555553"	45427.978472222225	"anonymous"		"I agree"	45427.0	"SNAP benefits is a government funded program that allows states to provide food assistance to its residents. In order to qualified for the program you have to be below the national poverty line. The food assistance is give to members on a monthly rate, the amount give is equivalent to around $3.40 cents a day."	"Social determinants of health are factors that influence the patient's health beyond the clinician's impact and medications. Factors like housing, neighborhood, income, education and many more. These factors can effect the wellness of our patients."	"5"	"4"	"The SNAP experience allowed me to see how difficult it is to manage chronic illness that lead to diet restriction. The restricted diet of the different chronic illness adds another layer of burden to limited choices. With the SNAP benefits there is still a possibility of the patient to not have fully coverage over food daily. With the $3.40/day allowance, it truly isn't fully sustainable but it is better than nothing."	"4"	"1"	"I haven't used my knowledge in clinic yet but now i know the impact food has on our patient's wellness. It has opened my eyes to utilize our house insecurity."	"3"	"State legislation and benefit amounts;Local resources to access and aid in SNAP benefits for patients;Benefits are decreasing"	"4"	"1"	"4"
12.0	"45428.887499999997"	45428.90277777778	"anonymous"		"I agree"	45428.0	"SNAP benefits provide food or cash assistance to individuals from low-income households."	"SDoH are the social factors that contribute to a person's health outcomes."	"2"	"4"	"It forced me to select food items that I wouldn't normally select like processed foods. "	"4"	"4"	"Offering foodbank resources"	"3"	"State legislation and benefit amounts"	"5"	"5"	"4"
13.0	"45429.480555555558"	45430.51527777778	"anonymous"		"I agree"	45429.0	"SNAP benefits provide financial assistance to low-income individuals for purchase of select foods. The program is managed on the state and federal level, determining qualifications and eligibility requirements. "	"SDoH are things like gender, race, education, age, etc that significantly influence health outcomes and disparities in health care."	"4"	"4"	"the SNAP experience helped me understand that a \"one-size fits all\" approach to dietary recommendations for patients with certain conditions or disease states cannot be successful. The limitations on what one can purchase with SNAP benefits requires physicians to be more mindful and understanding of patients who have difficulties implementing their recommended diet. "	"4"	"3"	"Being able to display empathy if they were struggling, also to help them utilize resources to sign up for SNAP benefits "	"2"	"Benefits are decreasing;State legislation and benefit amounts;National legislation and benefit amounts;Local resources to access and aid in SNAP benefits for patients"	"4"	"3"	"4"
14.0	"45432.614583333336"	45432.61875	"anonymous"		"I agree"	45432.0	"SNAP allowed me to see how policy impacts people everyday and how it influences their choices "	"The SDOH's are factors that influence a person's health outside of their control. They are influenced by cultural biases, racism, policy at all levels of government, and access to basic rights such as housing, healthcare, and food"	"2"	"3"	"Having to budget in a new way and shop a store I do not usually frequent. There was much more planning that went into the week to make it cost effective"	"3"	"3"	"I shared tips and tricks "	"2"	"Local resources to access and aid in SNAP benefits for patients;Benefits are decreasing;Benefits are stable"	"4"	"4"	"3"
15.0	"45433.929861111108"	45433.941666666666	"anonymous"		"I agree"	45433.0	"Provides low home households with a determined amount of money to assist in paying for groceries. Has limitations in food that can be purchased"	"Social factors that affect a person’s health, as well their risk to develop certain conditions, and outcomes of health conditions. These factors include housing, transportation, risk of violence, education and income, and access to healthy food. "	"5"	"4"	"I would have found it practically impossible to cook if I did not have staples that I already had before the experience- such as onions, garlic, etc. I also recognized that I am very lucky in that I grew up learning to cook and in an household that mostly ate home cooking. I also benefited from already knowing what nutritious food consists of. "	"4"	"3"	"I have asked patients if they are able to afford food, or even medications (tangentially related, I know) without judgment. The patients have not been offended, and I have been able to make sure some patients had access to social work to help with their needs. "	"3"	"State legislation and benefit amounts;Local resources to access and aid in SNAP benefits for patients;Proposed increase, not sure if went through"	"5"	"1"	"4"
16.0	"45433.974305555559"	45433.97777777778	"anonymous"		"I agree"	45433.0	"A small bridge to obtaining food based on low income or disability status. "	"The environment, government, and beyond impacting the physical and mental well being of individuals/populations"	"3"	"1"	"NA"	"4"	"3"	"Questioning barriers to application. "	"2"	"State legislation and benefit amounts;National legislation and benefit amounts;Local resources to access and aid in SNAP benefits for patients"	"2"	"2"	"4"
17.0	"45434.345833333333"	45434.356944444444	"anonymous"		"I agree"	45434.0	"SNAP benefits are supplements to help low income families increase their budget for grocery shopping with the goal of helping them afford better more nutritious food options. "	"The conditions in the environment where people live, work, and play that influence health outcomes."	"5"	"4"	"Spending time navigating the bus system, looking for only stores that accept snap benefits, and trying to budget the very small amount of money allotted for each day helped me recognize not only the constraints of food insecurity but also how difficult it can be to follow any of the diets that are usually prescribed in a healthcare setting."	"4"	"3"	"After the SNAP challenge, I was better able to understand the constraints related to food insecurity and better able to recognize possible solutions or work with patients to solve some of the significant challenges they face.  "	"4"	"State legislation and benefit amounts;Local resources to access and aid in SNAP benefits for patients"	"5"	"1"	"4"
18.0	"45434.384027777778"	45434.39513888889	"anonymous"		"I agree"	45434.0	"SNAP benefits give people who are at risk of poverty and who have trouble acquriing food the ability to get fresh and healthy food by providing them with a monthly stipend."	"SDHs are the multi-factorial socioeconomic factors that influence the wellness of an individual."	"5"	"4"	"I've experienced these constraints myself before, and the SNAP experience helped remind me of the reasons I'm trying to use my position and experience to help combat diet and food insecurity. By sharing the pressures and stresses of these insecurities, you become more passionate about helping combat these problems and are more open to sharing information about these assistance programs."	"3"	"3"	"I empathized with the patient about the stress and pressures from my own experience to open a conversation with the patient about SNAP benefits."	"2"	"Benefits are decreasing;National legislation and benefit amounts;State legislation and benefit amounts;Local resources to access and aid in SNAP benefits for patients"	"5"	"5"	"4"
19.0	"45434.400000000001"	45434.410416666666	"anonymous"		"I agree"	45434.0	"Supp Nutrition Assistance Program:  aid to families for food who suffer at or below the poverty line"	"The 80% of impact related to zip code and SES status and broadly determined by geography and access."	"5"	"4"	"It was eye opening to see how much energy it takes to plan and shop and how much deprivation is involved.  I  was shocked to see how much energy I was spending on meal planning, prep, and shopping and also how it impacted my mental capabilities and mood.  (Sleep too!)"	"4"	"4"	"Consider food bank supplies and locations.  Consider eligibility and benefits and how to obtain.  Also consider how to help patients with tips and tricks and culturally appropriate modifications."	"4"	"Benefits are decreasing;Local resources to access and aid in SNAP benefits for patients;State legislation and benefit amounts"	"5"	"1"	"4"
20.0	"45434.504861111112"	45434.50763888889	"anonymous"		"I agree"	45434.0	"SNAP benefits are intended for low income households to have access to consistent and nutritious food. Each month, beneficiaries are given an amount, which could vary based on each individual's circumstances, children, etc., of money on a card to be used for groceries."	"social determinants of health are the conditions in which we live, work, and play that have an impact on our health outcomes"	"4"	"4"	"Because we were also assigned chronic disease states that we needed to tailor our diet to, I found it incredibly complicated. I was assigned hypertension and a low-sodium diet. Unfortunately, many of the foods within a SNAP budget are processed and contain large amounts of sodium."	"4"	"3"	"I have gotten more comfortable having conversations about food insecurity, especially with parents of pediatric patients and made sure they know of resources available."	"2"	"State legislation and benefit amounts;Local resources to access and aid in SNAP benefits for patients;Benefits are increasing"	"4"	"5"	"4"
21.0	"45438.003472222219"	45438.01180555556	"anonymous"		"I agree"	45438.0	"Nutritional assistance program provided to individuals and families in the US who experience financial and several other barriers to adequate food resources. "	"Factors that impact each individual's experience in achieving optimal health and wellbeing. The factors outside of the hospital that make an impact on our patient's health outcomes such as nutritional and financial access, the persistent outcomes of redlining, and daily access."	"5"	"4"	"It tremendously helped me learn how important it is to understand how far the assistance of SNAP can actually get patients and that the small amount of money provided is not adequate for our patients to obtain nutritional health, especially with specific diets such as the DASH diet. It helped me understand how I should approach conscientious nutritional goals with my future patient. "	"4"	"4"	"Understanding the barriers my patients faced in reaching their health outcomes with the small amount of assistance provided by SNAP and utilizing the resources we have at Akron General and in the community to bridge the nutritional gap. "	"2"	"Benefits are decreasing;National legislation and benefit amounts;Local resources to access and aid in SNAP benefits for patients"	"5"	"5"	"4"
	""		""		""		""	""	"4.0476190479999996"	"3.5238095239999998"	""	"3.7142857139999998"	"3.095238095"	""	"2.3333333330000001"	""	"4.2857142860000002"	"3.2857142860000002"	"3.7142857139999998"
