Source	Country	Title	Objective	FullCitation
"Jack et al., 2017"	"Canada"	"Identification and assessment of intimate partner violence in nurse home visitation"	"To develop strategies for the identification and assessment of intimate partner violence in a nurse home visitation program"	"Jack, S. M., Ford?Gilboe, M., Davidov, D., & MacMillan, H. L. (2017). Identification and assessment of intimate partner violence in nurse home visitation. Journal of Clinical Nursing, 26(15–16), 2215–2228. https://doi.org/10.1111/jocn.13392"
"Kirst et al., 2012"	"Canada"	"Referral to health and social services for intimate partner violence in health care settings: A realist scoping review"	"To scope the common elements in the literature about the “critical ingredients” of DVA referral processes in health care settings."	"Kirst, M., Zhang, Y. J., Young, A., Marshall, A., O’Campo, P., & Ahmad, F. (2012). Referral to Health and Social Services for Intimate Partner Violence in Health Care Settings: A Realist Scoping Review. Trauma, Violence, & Abuse, 13(4), 198–208. https://doi.org/10.1177/1524838012454942"
"LoGiudice, 2015"	"USA"	"Prenatal screening for intimate partner violence: A qualitative meta-synthesis"	"To glean an understanding of healthcare providers’ experience with prenatal screening for DVA."	"LoGiudice, J. A. (2015). Prenatal screening for intimate partner violence: A qualitative meta-synthesis. Applied Nursing Research, 28(1), 2–9. https://doi.org/10.1016/j.apnr.2014.04.004"
"Mauri et al., 2017"	"Italy"	"Domestic violence during pregnancy: Midwives' experiences"	"To explore midwives’ knowledge and clinical experience of domestic violence among pregnant women."	"Mauri, E. M., Nespoli, A., Persico, G., & Zobbi, V. F. (2015). Domestic violence during pregnancy: Midwives? experiences. Midwifery, 31(5), 498–504. https://doi.org/10.1016/j.midw.2015.02.002"
"McCauley et al., 2017"	"UK"	"Keeping family matters behind closed doors\": Healthcare providers' perceptions and experiences of identifying and managing domestic violence during and after pregnancy"	"To investigate the knowledge and perceptions of domestic violence among doctors who provide routine antenatal and postnatal care at healthcare facilities in Pakistan."	"McCauley, M., Head, J., Lambert, J., Zafar, S., & van den Broek, N. (2017). “Keeping family matters behind closed doors”: Healthcare providers’ perceptions and experiences of identifying and managing domestic violence during and after pregnancy. BMC Pregnancy and Childbirth, 17(1), 318. https://doi.org/10.1186/s12884-017-1520-4"
"McGarry & Nairn, 2015"	"UK"	"An exploration of the perceptions of emergency department nursing staff towards the role of a domestic abuse nurse specialist: A qualitative study"	"To explore the perceptions of emergency nursing staff about the role of a domestic abuse nurse specialist."	"McGarry, J., & Nairn, S. (2015). An exploration of the perceptions of emergency department nursing staff towards the role of a domestic abuse nurse specialist: A qualitative study. International Emergency Nursing, 23(2), 65–70. https://doi.org/10.1016/j.ienj.2014.06.003"
"McGarry, 2016"	"UK"	"Domestic violence and abuse: An exploration and evaluation of a domestic abuse nurse specialist role in acute health care services"	"To explore the experiences of clinical staff in responding to disclosures of domestic violence and to evaluate the role of dedicated nurse specialist."	"McGarry, J. (2016). Domestic violence and abuse: An exploration and evaluation of a domestic abuse nurse specialist role in acute health care services. Journal of Clinical Nursing, 26(15–16), 2266–2273. https://doi.org/10.1111/jocn.13203"
"Penti et al, 2017"	"USA"	"Physicians' experiences with male patients who perpetrate intimate partner violence"	"To explore family medicine physicians’ experiences when interacting with patients whom they know, or suspect, to have perpetrated DVA."	"Penti, B., Tran, H., Timmons, J., Rothman, E. F., & Wilkinson, J. (2017). Physicians’ Experiences with Male Patients Who Perpetrate Intimate Partner Violence. The Journal of the American Board of Family Medicine, 30(2), 239–247. https://doi.org/10.3122/jabfm.2017.02.160258"
"Pitter, 2016"	"Jamaica"	"Midwives' knowledge and attitudes when encountering Gender-Based Violence in their practice at a maternity-hospital in Kingston, Jamaica"	"To assess midwives’ knowledge and attitudes when encountering gender-based violence in their practice."	"Pitter, C. P. (2016). Midwives’ knowledge and attitudes when encountering Gender-Based Violence in their practice at a maternity-hospital in Kingston, Jamaica. International Journal of Qualitative Studies on Health and Well-Being, 11(1), 29358. https://doi.org/10.3402/qhw.v11.29358"
"Po-Yan Leung et al, 2018"	"Australia"	"How family doctors perceived their ‘readiness’ and ‘preparedness’ to identify and respond to intimate partner abuse: A qualitative study"	"To explore how doctors perceived the concepts of readiness and preparedness to identify and respond to DVA against female patients."	"Po-Yan Leung, T., Phillips, L., Bryant, C., & Hegarty, K. (2018). How family doctors perceived their ‘readiness’ and ‘preparedness’ to identify and respond to intimate partner abuse: A qualitative study. Family Practice, 35(4), 517–523. https://doi.org/10.1093/fampra/cmx109"
"Ritchie et al., 2009"	"New Zealand"	"Family violence intervention within an emergency department: Achieving change requires multifaceted processes to maximize safety"	"To explore the experiences of emergency nurses one year after launch of routine screening."	"Ritchie, M., Nelson, K., & Wills, R. (2009). Family Violence Intervention Within an Emergency Department: Achieving Change Requires Multifaceted Processes to Maximize Safety. Journal of Emergency Nursing, 35(2), 97–104. https://doi.org/10.1016/j.jen.2008.05.004"
"Rittmayer & Roux, 1999"	"USA"	"Relinquishing the need to \"fix it\": Medical intervention with domestic abuse"	"To address the methods used by obstetricians/gynaecologists to identify/intervene with patient victims of DVA."	"Rittmayer, J., & Roux, G. (1999). Relinquishing the Need to “Fix It”: Medical Intervention with Domestic Abuse. Qualitative Health Research, 9(2), 166–181. https://doi.org/10.1177/104973299129121767"
"Saletti-Cuesta et al., 2018"	"Argentina"	"Opinions and experiences of primary healthcare providers regarding violence against women: A systematic review of qualitative studies"	"To explore the opinions and experiences of primary care providers regarding DVA."	"Saletti-Cuesta, L., Aizenberg, L., & Ricci-Cabello, I. (2018). Opinions and Experiences of Primary Healthcare Providers Regarding Violence against Women: A Systematic Review of Qualitative Studies. Journal of Family Violence, 33(6), 405–420. https://doi.org/10.1007/s10896-018-9971-6"
"Sormanti & Smith, 2010"	"USA"	"Intimate partner violence screening in the emergency department: U.S. medical residents' perspectives"	"To explore barriers to DVA screening and initial steps to address these barriers."	"Sormanti, M., & Smith, E. (2010). Intimate Partner Violence Screening in the Emergency Department: U.S. Medical Residents’ Perspectives. International Quarterly of Community Health Education, 30(1), 21–40. https://doi.org/10.2190/IQ.30.1.c"
"Spangaro et al., 2011"	"Australia"	"Pandora doesn't live here anymore: Normalization of screening for intimate partner violence in Australian antenatal, mental health, and substance abuse services"	"To understand challenges and enablers of screening and apply this to how health policies become routinised in practice."	"Spangaro, J., Poulos, R. G., & Zwi, A. B. (2011). Pandora Doesn’t Live Here Anymore: Normalization of Screening for Intimate Partner Violence in Australian Antenatal, Mental Health, and Substance Abuse Services. Violence and Victims, 26(1), 130–144. https://doi.org/10.1891/0886-6708.26.1.130"
"Sprague et al., 2013"	"Canada"	"Barriers to and facilitators for screening women for intimate partner violence in surgical fracture clinics: A qualitative descriptive approach"	"To explore barriers and facilitators to screening for DVA in an orthopaedic fracture clinic."	"Sprague, S., Swinton, M., Madden, K., Swaleh, R., Goslings, J. C., Petrisor, B., & Bhandari, M. (2013). Barriers to and facilitators for screening women for intimate partner violence in surgical fracture clinics: A qualitative descriptive approach. BMC Musculoskeletal Disorders, 14(1), 122. https://doi.org/10.1186/1471-2474-14-122"
"Sugg, 1992"	"USA"	"Primary care physicians' response to domestic violence: Opening Pandora's box"	"To explore primary care physicians’ experiences with DVA victims in relation to responding in primary care settings. "	"Sugg, N. K. (1992). Primary Care Physicians’ Response to Domestic Violence: Opening Pandora’s Box. JAMA, 267(23), 3157. https://doi.org/10.1001/jama.1992.03480230049026"
"Sunborg et al., 2015"	"Sweden"	"To ask, or not to ask: the hesitation process described by district nurses encountering women exposed to intimate partner violence"	"To improve the understanding or nurses’ experiences of encountering women exposed to DVA."	"Sundborg, E., Törnkvist, L., Saleh-Stattin, N., Wändell, P., & Hylander, I. (2017). To ask, or not to ask: The hesitation process described by district nurses encountering women exposed to intimate partner violence. Journal of Clinical Nursing, 26(15–16), 2256–2265. https://doi.org/10.1111/jocn.12992"
"Thi Thanh Nguyen et al., 2014"	"Vietnam"	"Underlying beliefs influencing Vietnamese nurses and doctors in screening for victims of domestic violence: An exploratory study"	"To explore the underlying beliefs that influence nurses and doctors in screening for victims of DVA."	"Nguyen, H. T. T., Anderson, D. J., Dunne, M. P., & Nguyen, H. T. (2014). Underlying Beliefs Influencing Vietnamese Nurses and Doctors in Screening for Victims of Domestic Violence: An Exploratory Study. Health, 06(08), 691–698. https://doi.org/10.4236/health.2014.68090"
"Varcoe, 1997"	"Canada"	"Untying our hands: The social context of nursing in relation to violence against women"	"To examine the relationship between the social context of practice and the way in which nurses recognise and respond to women who have been abused."	"Varcoe, C. M. (1997). Untying our hands: The social context of nursing in relation to violence against women [University of British Columbia]. https://doi.org/10.14288/1.0088320"
"Virkki et al., 2015"	"Finland"	"Possibilities for intervention in domestic violence: Frame analysis of health care professionals’ attitudes"	"To explore how professionals see the possibilities for domestic violence intervention and their role in the process."	"Virkki, T., Husso, M., Notko, M., Holma, J., Laitila, A., & Mäntysaari, M. (2015). Possibilities for Intervention in Domestic Violence: Frame Analysis of Health Care Professionals’ Attitudes. Journal of Social Service Research, 41(1), 6–24. https://doi.org/10.1080/01488376.2014.917449"
"Watson et al., 2017"	"UK"	"Helpless helpers: Primary care therapist self-efficacy working with intimate partner violence and ageing women"	"To explore primary care psychological therapists’ experiences of working with mid-life and older women presenting with DVA."	"Watson, C., Carthy, N., & Becker, S. (2017). Helpless helpers: Primary care therapist self-efficacy working with intimate partner violence and ageing women. Quality in Ageing and Older Adults, 18(4), 222–234. https://doi.org/10.1108/QAOA-05-2017-0013"
"Williams et al., 2016"	"USA"	"An exploration of screening protocols for intimate partner violence in healthcare facilities: A qualitative study"	"To explore methods by which DVA screening practices are implemented in clinic and emergency settings."	"Williams, J. R., Halstead, V., Salani, D., & Koermer, N. (2017). An exploration of screening protocols for intimate partner violence in healthcare facilities: A qualitative study. Journal of Clinical Nursing, 26(15–16), 2192–2201. https://doi.org/10.1111/jocn.13353"
"Wilson et al., 2016"	"USA"	"Healthcare providers' experiences screening for intimate partner violence among migrant and seasonal farmworking women: A phenomenological study"	"To explore the experiences of health practitioners who have addressed DVA with migrant and seasonal farm working women."	"Wilson, J. B., Rappleyea, D. L., Hodgson, J. L., Brimhall, A. S., Hall, T. L., & Thompson, A. P. (2016). Healthcare providers’ experiences screening for intimate partner violence among migrant and seasonal farmworking women: A phenomenological study. Health Expectations, 19(6), 1277–1289. https://doi.org/10.1111/hex.12421"
"Zijlstra et al., 2017"	"Netherlands"	"Tensions and ambivalent feelings: Opinions of emergency department employees about the identification and management of intimate partner violence"	"To examine factors facilitating and constraining the identification and management of DVA in an emergency department."	"Zijlstra, E., van de Laar, R., Moors, M. L., Lo Fo Wong, S., & Lagro-Janssen, A. (2017). Tensions and Ambivalent Feelings: Opinions of Emergency Department Employees About the Identification and Management of Intimate Partner Violence. Journal of Interpersonal Violence, 32(7), 1044–1067. https://doi.org/10.1177/0886260515587663"
"Zink et al., 2004"	"USA"	"Intimate partner violence: What are physicians' perceptions?"	"To examine primary care providers’ awareness about DVA in older women."	"Zink, T., Regan, S., Goldenhar, L., Pabst, S., & Rinto, B. (2004). Intimate Partner Violence: What Are Physicians’ Perceptions? The Journal of the American Board of Family Medicine, 17(5), 332–340. https://doi.org/10.3122/jabfm.17.5.332"
