Variable / Field Name	Form Name	Section Header	Field Type	Field Label	Choices, Calculations, OR Slider Labels	Field Note	Text Validation Type OR Show Slider Number	Text Validation Min	Text Validation Max	Identifier?	Branching Logic (Show field only if...)	Required Field?	Custom Alignment	Question Number (surveys only)	Matrix Group Name	Matrix Ranking?	Field Annotation
"pass_19"	"pain_anxiety_symptom_scale_short_form_20_pass_20"	""	"radio"	"Pain makes me nauseous"	"0, Never<br>0 | 1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, Always<br>5"	""	""			""	""	""	""		"pass_1"		""
"pass_20"	"pain_anxiety_symptom_scale_short_form_20_pass_20"	""	"radio"	"I find it difficult to calm my body down after periods of pain"	"0, Never<br>0 | 1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, Always<br>5"	""	""			""	""	""	""		"pass_1"		""
"ffmq_1"	"five_facets_mindfulness_questionnaire_ffmq_short"	"Below is a collection of statements about your everyday experience. Using the 1-5 scale below, please indicate, in the box to the right of each statement, how frequently or infrequently you have had each experience in the last month (or other agreed time period). Please answer according to what really reflects your experience rather than what you think your experience should be."	"radio"	"I'm good at finding the words to describe my feelings"	"1, never or rarely true | 2, not often true | 3, sometimes true, sometimes not true | 4, often true | 5, very often or always true"	""	""			""	""	""	""		"ffmq"		""
"ffmq_2"	"five_facets_mindfulness_questionnaire_ffmq_short"	""	"radio"	"I can easily put my beliefs, opinions, and expectations into words"	"1, never or rarely true | 2, not often true | 3, sometimes true, sometimes not true | 4, often true | 5, very often or always true"	""	""			""	""	""	""		"ffmq"		""
"ffmq_3"	"five_facets_mindfulness_questionnaire_ffmq_short"	""	"radio"	"I watch my feelings without getting carried away by them"	"1, never or rarely true | 2, not often true | 3, sometimes true, sometimes not true | 4, often true | 5, very often or always true"	""	""			""	""	""	""		"ffmq"		""
"ffmq_4"	"five_facets_mindfulness_questionnaire_ffmq_short"	""	"radio"	"I tell myself that I shouldn't be feeling the way I'm feeling"	"1, never or rarely true | 2, not often true | 3, sometimes true, sometimes not true | 4, often true | 5, very often or always true"	""	""			""	""	""	""		"ffmq"		""
"ffmq_5"	"five_facets_mindfulness_questionnaire_ffmq_short"	""	"radio"	"it's hard for me to find the words to describe what I'm thinking"	"1, never or rarely true | 2, not often true | 3, sometimes true, sometimes not true | 4, often true | 5, very often or always true"	""	""			""	""	""	""		"ffmq"		""
"ffmq_6"	"five_facets_mindfulness_questionnaire_ffmq_short"	""	"radio"	"I pay attention to physical experiences, such as the wind in my hair or sun on my face"	"1, never or rarely true | 2, not often true | 3, sometimes true, sometimes not true | 4, often true | 5, very often or always true"	""	""			""	""	""	""		"ffmq"		""
"ffmq_7"	"five_facets_mindfulness_questionnaire_ffmq_short"	""	"radio"	"I make judgments about whether my thoughts are good or bad."	"1, never or rarely true | 2, not often true | 3, sometimes true, sometimes not true | 4, often true | 5, very often or always true"	""	""			""	""	""	""		"ffmq"		""
"ffmq_8"	"five_facets_mindfulness_questionnaire_ffmq_short"	""	"radio"	"I find it difficult to stay focused on what's happening in the present moment"	"1, never or rarely true | 2, not often true | 3, sometimes true, sometimes not true | 4, often true | 5, very often or always true"	""	""			""	""	""	""		"ffmq"		""
"ffmq_9"	"five_facets_mindfulness_questionnaire_ffmq_short"	""	"radio"	"when I have distressing thoughts or images, I don't let myself be carried away by them"	"1, never or rarely true | 2, not often true | 3, sometimes true, sometimes not true | 4, often true | 5, very often or always true"	""	""			""	""	""	""		"ffmq"		""
"ffmq_10"	"five_facets_mindfulness_questionnaire_ffmq_short"	""	"radio"	"generally, I pay attention to sounds, such as clocks ticking, birds chirping, or cars passing"	"1, never or rarely true | 2, not often true | 3, sometimes true, sometimes not true | 4, often true | 5, very often or always true"	""	""			""	""	""	""		"ffmq"		""
"ffmq_11"	"five_facets_mindfulness_questionnaire_ffmq_short"	""	"radio"	"when I feel something in my body, it's hard for me to find the right words to describe it"	"1, never or rarely true | 2, not often true | 3, sometimes true, sometimes not true | 4, often true | 5, very often or always true"	""	""			""	""	""	""		"ffmq"		""
"ffmq_12"	"five_facets_mindfulness_questionnaire_ffmq_short"	""	"radio"	"it seems I am \"running on automatic\" without much awareness of what I'm doing"	"1, never or rarely true | 2, not often true | 3, sometimes true, sometimes not true | 4, often true | 5, very often or always true"	""	""			""	""	""	""		"ffmq"		""
"ffmq_13"	"five_facets_mindfulness_questionnaire_ffmq_short"	""	"radio"	"when I have distressing thoughts or images, I feel calm soon after"	"1, never or rarely true | 2, not often true | 3, sometimes true, sometimes not true | 4, often true | 5, very often or always true"	""	""			""	""	""	""		"ffmq"		""
"ffmq_14"	"five_facets_mindfulness_questionnaire_ffmq_short"	""	"radio"	"I tell myself I shouldn't be thinking the way I'm thinking"	"1, never or rarely true | 2, not often true | 3, sometimes true, sometimes not true | 4, often true | 5, very often or always true"	""	""			""	""	""	""		"ffmq"		""
"ffmq_15"	"five_facets_mindfulness_questionnaire_ffmq_short"	""	"radio"	"I notice the smells and aromas of things"	"1, never or rarely true | 2, not often true | 3, sometimes true, sometimes not true | 4, often true | 5, very often or always true"	""	""			""	""	""	""		"ffmq"		""
"ffmq_16"	"five_facets_mindfulness_questionnaire_ffmq_short"	""	"radio"	"even when I'm feeling terribly upset, I can find a way to put it into words"	"1, never or rarely true | 2, not often true | 3, sometimes true, sometimes not true | 4, often true | 5, very often or always true"	""	""			""	""	""	""		"ffmq"		""
"ffmq_17"	"five_facets_mindfulness_questionnaire_ffmq_short"	""	"radio"	"I rush through activities without being really attentive to them"	"1, never or rarely true | 2, not often true | 3, sometimes true, sometimes not true | 4, often true | 5, very often or always true"	""	""			""	""	""	""		"ffmq"		""
"ffmq_18"	"five_facets_mindfulness_questionnaire_ffmq_short"	""	"radio"	"usually when I have distressing thoughts or images I can just notice them without reacting"	"1, never or rarely true | 2, not often true | 3, sometimes true, sometimes not true | 4, often true | 5, very often or always true"	""	""			""	""	""	""		"ffmq"		""
"ffmq_19"	"five_facets_mindfulness_questionnaire_ffmq_short"	""	"radio"	"I think some of my emotions are bad or inappropriate and I shouldn't feel them"	"1, never or rarely true | 2, not often true | 3, sometimes true, sometimes not true | 4, often true | 5, very often or always true"	""	""			""	""	""	""		"ffmq"		""
"ffmq_20"	"five_facets_mindfulness_questionnaire_ffmq_short"	""	"radio"	"I notice visual elements in art or nature, such as colors, shapes, textures, or patterns of light and shadow"	"1, never or rarely true | 2, not often true | 3, sometimes true, sometimes not true | 4, often true | 5, very often or always true"	""	""			""	""	""	""		"ffmq"		""
"ffmq_21"	"five_facets_mindfulness_questionnaire_ffmq_short"	""	"radio"	"when I have distressing thoughts or images, I just notice them and let them go"	"1, never or rarely true | 2, not often true | 3, sometimes true, sometimes not true | 4, often true | 5, very often or always true"	""	""			""	""	""	""		"ffmq"		""
"ffmq_22"	"five_facets_mindfulness_questionnaire_ffmq_short"	""	"radio"	"I do jobs or tasks automatically without being aware of what I'm doing"	"1, never or rarely true | 2, not often true | 3, sometimes true, sometimes not true | 4, often true | 5, very often or always true"	""	""			""	""	""	""		"ffmq"		""
"ffmq_23"	"five_facets_mindfulness_questionnaire_ffmq_short"	""	"radio"	"I find myself doing things without paying attention /"	"1, never or rarely true | 2, not often true | 3, sometimes true, sometimes not true | 4, often true | 5, very often or always true"	""	""			""	""	""	""		"ffmq"		""
"ffmq_24"	"five_facets_mindfulness_questionnaire_ffmq_short"	""	"radio"	"I disapprove of myself when I have illogical ideas"	"1, never or rarely true | 2, not often true | 3, sometimes true, sometimes not true | 4, often true | 5, very often or always true"	""	""			""	""	""	""		"ffmq"		""
"ctq_1"	"ctq"	"When I was growing up..."	"radio"	"I didn't have enough to eat"	"1, Never true | 2, Rarely true | 3, Sometimes true | 4, Often true | 5, Very Often true"	""	""			""	""	""	""		"ctq"		""
"ctq_2"	"ctq"	""	"radio"	"I knew that there was someone to take care of me and protect me."	"1, Never true | 2, Rarely true | 3, Sometimes true | 4, Often true | 5, Very Often true"	""	""			""	""	""	""		"ctq"		""
"ctq_3"	"ctq"	""	"radio"	"People in my family called me things like \"stupid\", \"lazy\", or \"ugly\"."	"1, Never true | 2, Rarely true | 3, Sometimes true | 4, Often true | 5, Very Often true"	""	""			""	""	""	""		"ctq"		""
"ctq_4"	"ctq"	""	"radio"	"My parents were too drunk or high to take care of the family."	"1, Never true | 2, Rarely true | 3, Sometimes true | 4, Often true | 5, Very Often true"	""	""			""	""	""	""		"ctq"		""
"ctq_5"	"ctq"	""	"radio"	"There was someone in my family who helped me feel important or special."	"1, Never true | 2, Rarely true | 3, Sometimes true | 4, Often true | 5, Very Often true"	""	""			""	""	""	""		"ctq"		""
"ctq_6"	"ctq"	"When I was growing up, . . ."	"radio"	"I had to wear dirty clothes."	"1, Never true | 2, Rarely true | 3, Sometimes true | 4, Often true | 5, Very Often true"	""	""			""	""	""	""		"ctq_2"		""
"ctq_7"	"ctq"	""	"radio"	"I felt loved."	"1, Never true | 2, Rarely true | 3, Sometimes true | 4, Often true | 5, Very Often true"	""	""			""	""	""	""		"ctq_2"		""
"ctq_8"	"ctq"	""	"radio"	"I thought that my parents wished I had never been born."	"1, Never true | 2, Rarely true | 3, Sometimes true | 4, Often true | 5, Very Often true"	""	""			""	""	""	""		"ctq_2"		""
"ctq_9"	"ctq"	""	"radio"	"I got hit so hard by someone in my family that I had to see a doctor or go to the hospital."	"1, Never true | 2, Rarely true | 3, Sometimes true | 4, Often true | 5, Very Often true"	""	""			""	""	""	""		"ctq_2"		""
"ctq_10"	"ctq"	""	"radio"	"There was nothing I wanted to change about my family."	"1, Never true | 2, Rarely true | 3, Sometimes true | 4, Often true | 5, Very Often true"	""	""			""	""	""	""		"ctq_2"		""
"ctq_11"	"ctq"	"When I was growing up, . . ."	"radio"	"People in my family hit me so hard that it left me with bruises or marks."	"1, Never true | 2, Rarely true | 3, Sometimes true | 4, Often true | 5, Very Often true"	""	""			""	""	""	""		"ctq_3"		""
"ctq_12"	"ctq"	""	"radio"	"I was punished with a belt, a board, a cord (or some other hard object)."	"1, Never true | 2, Rarely true | 3, Sometimes true | 4, Often true | 5, Very Often true"	""	""			""	""	""	""		"ctq_3"		""
"ctq_13"	"ctq"	""	"radio"	"People in my family looked out for each other."	"1, Never true | 2, Rarely true | 3, Sometimes true | 4, Often true | 5, Very Often true"	""	""			""	""	""	""		"ctq_3"		""
"ctq_14"	"ctq"	""	"radio"	"People in my family said hurtful or insulting things to me."	"1, Never true | 2, Rarely true | 3, Sometimes true | 4, Often true | 5, Very Often true"	""	""			""	""	""	""		"ctq_3"		""
"ctq_15"	"ctq"	""	"radio"	"I believe that I was physically abused."	"1, Never true | 2, Rarely true | 3, Sometimes true | 4, Often true | 5, Very Often true"	""	""			""	""	""	""		"ctq_3"		""
"ctq_16"	"ctq"	"When I was growing up, . . ."	"radio"	"I had the perfect childhood."	"1, Never true | 2, Rarely true | 3, Sometimes true | 4, Often true | 5, Very Often true"	""	""			""	""	""	""		"ctq_4"		""
"ctq_17"	"ctq"	""	"radio"	"I got hit or beaten so badly that it was noticed by someone like a teacher, neighbor, or doctor."	"1, Never true | 2, Rarely true | 3, Sometimes true | 4, Often true | 5, Very Often true"	""	""			""	""	""	""		"ctq_4"		""
"ctq_18"	"ctq"	""	"radio"	"Someone in my family hated me."	"1, Never true | 2, Rarely true | 3, Sometimes true | 4, Often true | 5, Very Often true"	""	""			""	""	""	""		"ctq_4"		""
"ctq_19"	"ctq"	""	"radio"	"People in my family felt close to each other."	"1, Never true | 2, Rarely true | 3, Sometimes true | 4, Often true | 5, Very Often true"	""	""			""	""	""	""		"ctq_4"		""
"ctq_20"	"ctq"	""	"radio"	"Someone tried to touch me in a sexual way or tried to make me touch them."	"1, Never true | 2, Rarely true | 3, Sometimes true | 4, Often true | 5, Very Often true"	""	""			""	""	""	""		"ctq_4"		""
"ctq_21"	"ctq"	"When I was growing up, . . ."	"radio"	"Someone threatened to hurt me or tell lies about me unless I did something sexual with them."	"1, Never true | 2, Rarely true | 3, Sometimes true | 4, Often true | 5, Very Often true"	""	""			""	""	""	""		"ctq_5"		""
"ctq_22"	"ctq"	""	"radio"	"I had the best family in the world."	"1, Never true | 2, Rarely true | 3, Sometimes true | 4, Often true | 5, Very Often true"	""	""			""	""	""	""		"ctq_5"		""
"ctq_23"	"ctq"	""	"radio"	"Someone tried to make me do sexual things or watch sexual things."	"1, Never true | 2, Rarely true | 3, Sometimes true | 4, Often true | 5, Very Often true"	""	""			""	""	""	""		"ctq_5"		""
"ctq_24"	"ctq"	""	"radio"	"Someone molested me (took advantage of me sexually)."	"1, Never true | 2, Rarely true | 3, Sometimes true | 4, Often true | 5, Very Often true"	""	""			""	""	""	""		"ctq_5"		""
"ctq_25"	"ctq"	""	"radio"	"I believe that I was emotionally abused."	"1, Never true | 2, Rarely true | 3, Sometimes true | 4, Often true | 5, Very Often true"	""	""			""	""	""	""		"ctq_5"		""
"ctq_26"	"ctq"	"When I was growing up, . . ."	"radio"	"There was someone to take me to the doctor if I needed it."	"1, Never true | 2, Rarely true | 3, Sometimes true | 4, Often true | 5, Very Often true"	""	""			""	""	""	""		"ctq_6"		""
"ctq_27"	"ctq"	""	"radio"	"I believe that I was sexually abused."	"1, Never true | 2, Rarely true | 3, Sometimes true | 4, Often true | 5, Very Often true"	""	""			""	""	""	""		"ctq_6"		""
"ctq_28"	"ctq"	""	"radio"	"My family was a source of strength and support."	"1, Never true | 2, Rarely true | 3, Sometimes true | 4, Often true | 5, Very Often true"	""	""			""	""	""	""		"ctq_6"		""
"study_id"	"my_first_instrument"	""	"text"	"Record ID"	""	""	""			""	""	""	""		""		""
"fname"	"my_first_instrument"	""	"text"	"First Name"	""	""	""			""	""	""	""		""		""
"lname"	"my_first_instrument"	""	"text"	"Last Name"	""	""	""			""	""	""	""		""		""
"pnumber"	"my_first_instrument"	""	"text"	"Phone Number"	""	""	""			""	""	""	""		""		""
"email1"	"my_first_instrument"	""	"text"	"Email"	""	""	""			""	""	""	""		""		""
"pscreen"	"my_first_instrument"	""	"text"	"Phone Screen Scheduled"	""	""	"datetime_mdy"			""	""	""	""		""		""
"scheduler"	"my_first_instrument"	""	"text"	"Who Scheduled"	""	"Initials"	""			""	""	""	""		""		""
"addtnlnotes"	"my_first_instrument"	""	"notes"	"Notes"	""	""	""			""	""	""	""		""		""
"intro"	"phone_screen"	""	"descriptive"	"Hello______! My name is _________________________ and I am calling from the UCSF Osher Center for Integrative Medicine. I have you scheduled for a phone screening at this time for the MYP study. Is this still a good time for you?\n\nYES/NO --> reschedule if \"NO\"\n\nDo you have any questions about the study before we begin?\n\nIf YES --> go over study information\nIf NO --> go to legal rights\n\n"	""	""	""			""	""	""	""		""		""
"informationaboutstudy"	"phone_screen"	""	"descriptive"	"OPTIONAL:\n\nCPRS Reference / Research Information: \n\nDr. Wolf Mehling and his colleagues are conducting a research study to find out more about pain processing and pain management in individuals with chronic low back pain. We are using a variety of pain testing techniques including brain imaging. The study is being held at the UCSF Osher Center for Integrative Medicine and the San Francisco VA Medical Center. It involves a series of clinical assessments, procedures to determine your sensitivity to different temperatures, task performances inside an MRI, and smart phone texting. If you complete all of the procedures, you will receive up to $440.\n\nChronic pain is a common condition and is estimated to affect 100 million Americans. This study aims to further understand pain processing across individuals with and without pain and various physical and mental conditions using a variety of pain testing techniques. By taking pictures of your brain, researchers hope to eventually help identify biomarkers and develop more effective treatments for chronic pain.\n\nThe study includes up to 3 visits, which involve a series of clinical assessments, procedures to determine your sensitivity to different temperatures, task performances inside an MRI, and fNIRS imaging. \n\nDo you have any questions for me at this time?\n"	""	""	""			""	""	""	""		""		""
"legalrights"	"phone_screen"	"Before we begin collecting information, I am going to formally read you your legal rights, and if you consent, we will then continue to the questionnaire. "	"descriptive"	"During this interview, I will ask questions about your lifestyle, your physical and psychological health, including questions about alcohol and drug use, in order to determine if you are eligible for our study.  Once you complete this interview, our study team will review it to determine if you are eligible, and we can call you within two weeks of the interview to let you know of your eligibility if you request. Some of these questions are personal in nature and may cause you discomfort. This interview typically lasts 30-45 minutes but may take more or less time.   There is no cost or payment for participating in this initial phone interview/screen.  \n\nParticipating in this screening interview is voluntary. You may choose not to answer questions if you wish, and you can tell me to stop the interview at any time without any consequences. If it becomes clear during this interview that you are not eligible for this study, we will end the interview. If you have questions at any point during the interview, please feel free to ask.  \n\nThere is no direct benefit to you.  The information collected during this interview is used only for the purposes of eligibility screening and will not be shared with anyone outside the research team. The only exceptions to this are if you appear to be in danger of harming yourself or someone else, or if there is a report of elder or child abuse, at which point we may be required to contact local police to confirm your or another individuals' safety.  Information collected will be kept as confidential as possible, but complete confidentiality cannot be guaranteed. \n\nDo you have any questions at this time? \n\nIf you have questions about this study in the future, you can contact our Principle Investigator, Dr. Strigo. If you have questions or concerns about your rights as a research participant, you can call the UCSF Institutional Review Board at 415-476-1814.\n"	""	""	""			""	""	""	""		""		""
"participate"	"phone_screen"	""	"yesno"	"Do you agree to participate?"	""	""	""			""	""	""	""		""		""
"yesparticipate"	"phone_screen"	""	"yesno"	"Okay, thank you. If you do not qualify for this study, or choose not to participate, you may still be eligible to participate in other studies through our laboratory. Your decision whether or not to have your information stored for the purpose of contacting you about other studies in no way affects your eligibility for the current study. Would you like your information to be stored on a secure database so we may contact you in the event that you qualify for other studies within our laboratory?"	""	""	""			""	"[participate] = '1'"	""	""		""		""
"yes"	"phone_screen"	""	"descriptive"	"Great, we will make a note of that. Thanks."	""	""	""			""	"[yesparticipate] = '1' or [noparticipate] = '1'"	""	""		""		""
"no"	"phone_screen"	""	"descriptive"	"Okay, we will be sure to remove your information. Thank you for your time and interest in our studies. If you ever have any questions or think you might be interested in participating again, please don't hesitate to contact me."	""	""	""			""	"[yesparticipate] = '0' and [noparticipate] = '0'"	""	""		""		""
"noparticipate"	"phone_screen"	""	"yesno"	"Okay no problem. If you are interested, you may still be eligible to participate in other studies through our laboratory. Your decision whether or not to have your information stored for the purpose of contacting you about other studies in no way affects your eligibility for the current study if you change your mind about participation. Would you like your information to be stored on a secure database so we may contact you in the event that you qualify for other studies within our laboratory?"	""	""	""			""	"[participate] = '0'"	""	""		""		""
"dateofscreen"	"phone_screen"	""	"text"	"Date of phone screen"	""	""	"date_mdy"			""	""	"y"	""		""		""
"howrecruited"	"phone_screen"	""	"checkbox"	"How did the participant hear about us?"	"1, Flier at SFVAMC | 2, T.V. at SFVAMC | 3, Word of mouth | 4, From a doctor | 5, From another study | 6, Craigslist | 7, Recruiting Event | 8, CPRS Mailing | 9, CPRS call | 10, Facebook | 11, Website (UCSF) | 12, Website (Weebly) | 13, Website (VA) | 14, Other"	""	""			""	""	""	""		""		""
"otherrecruit"	"phone_screen"	""	"notes"	"If \"Other\" for how the participant heard about us, please specify"	""	""	""			""	"[howrecruited(14)] = '1'"	""	""		""		""
"firstname"	"phone_screen"	"Demographics: In this section we will be going over some basic demographics. \n"	"text"	"First name"	""	""	""			"y"	""	""	""		""		""
"lastname"	"phone_screen"	""	"text"	"Last name"	""	""	""			"y"	""	""	""		""		""
"email"	"phone_screen"	""	"text"	"E-mail (only used to send the participant confirmation of their appointment)"	""	""	""			"y"	""	""	""		""		""
"demog_phone"	"phone_screen"	""	"text"	"If this is not a smart phone, do you have a Smart Phone number?"	""	""	""			""	""	""	""		""		""
"gender_ae8024"	"phone_screen"	""	"dropdown"	"Gender"	"1, Male | 2, Female | 3, Other"	""	""			""	""	""	""		""		""
"genderother_23ad8e"	"phone_screen"	""	"text"	"If other, what gender do you identify as?"	""	""	""			""	"[gender_ae8024] = '3'"	""	""		""		""
"gendertranscmed"	"phone_screen"	""	"dropdown"	"Are you currently taking any medications related to transitioning?"	"1, Yes | 2, No"	""	""			""	"[gender_ae8024] = '3'"	""	""		""		""
"gendertranspmed"	"phone_screen"	""	"dropdown"	"Have you previously taken any medications related to transitioning?"	"1, Yes | 2, No"	""	""			""	"[gender_ae8024] = '3'"	""	""		""		""
"birthdate_b9c2e9"	"phone_screen"	""	"text"	"Date of birth"	""	""	"date_mdy"			"y"	""	""	""		""		""
"height_827a03"	"phone_screen"	""	"text"	"Height (in inches)"	""	""	"number"			""	""	""	""		""		""
"weight_f4c771"	"phone_screen"	""	"text"	"Weight in pounds (if above 300 lbs. may not fit in MRI, R/O)"	""	""	""			""	""	""	""		""		""
"ethnicity_e6d9ad"	"phone_screen"	""	"dropdown"	"Ethnicity"	"1, White | 2, Hispanic or Latino | 3, Black or African American | 4, Native American or American Indian | 5, Asian/Pacific Islander | 6, Mixed | 7, Other | 8, Declined to answer"	""	""			""	""	""	""		""		""
"otherethnicity_78c18c"	"phone_screen"	""	"text"	"If other for ethnicity, please specify"	""	""	""			""	"[ethnicity_e6d9ad] = '7'"	""	""		""		""
"empstatus_16e9f5"	"phone_screen"	""	"dropdown"	"Employment status"	"1, Employed | 2, Self-employed | 3, Out of work | 4, Homemaker | 5, Student | 6, Military | 7, Retired | 8, Unable to work | 9, Other | 10, Declined to answer"	""	""			""	""	""	""		""		""
"otherempstatus_af995a"	"phone_screen"	""	"text"	"If other for employment status, please specify"	""	""	""			""	"[empstatus_16e9f5] = '9'"	""	""		""		""
"currenthousingstatus"	"phone_screen"	""	"dropdown"	"Current housing status?"	"1, Owns house/condo | 2, Rents house/condo | 3, Rents apartment | 4, Living with family/friends | 5, Residential facility | 6, Living in shelter | 7, No shelter | 8, Other | 9, Declined to answer"	""	""			""	""	""	""		""		""
"currenthousingstatusother"	"phone_screen"	""	"text"	"If other for current housing status, please specify"	""	""	""			""	"[currenthousingstatus] = '8'"	""	""		""		""
"edforself_a59f9d"	"phone_screen"	""	"dropdown"	"Highest level of education for self"	"1, Some high school | 2, High school | 3, Some college | 4, Trade/technical/vocational training | 5, Associate degree | 6, Bachelor's degree | 7, Master's degree | 8, Professional degree | 9, Doctorate degree | 10, Other | 11, Declined to answer"	""	""			""	""	""	""		""		""
"otheredforself_2e7ace"	"phone_screen"	""	"text"	"If other for highest level of education for self, please specify"	""	""	""			""	"[edforself_a59f9d] = '10'"	""	""		""		""
"handed_dd17b0"	"phone_screen"	""	"radio"	"Right or left handed?"	"1, Right | 2, Left"	""	""			""	""	""	""		""		""
"smokecurrent_d04e9d"	"phone_screen"	""	"yesno"	"Do they currently smoke?"	""	""	""			""	""	""	""		""		""
"cigperday_0fe8f4"	"phone_screen"	""	"text"	"How many cigarettes do you smoke per day?"	""	""	"number"			""	"[smokecurrent_d04e9d] = '1'"	""	""		""		""
"yearssmokedfor_84224d"	"phone_screen"	""	"text"	"How many years have you smoked for?"	""	""	""			""	"[smokecurrent_d04e9d] = '1'"	""	""		""		""
"eversmoked_c938bc"	"phone_screen"	""	"yesno"	"Have you ever smoked?"	""	""	""			""	""	""	""		""		""
"cigperdaypast_cec6d1"	"phone_screen"	""	"text"	"How many cigarettes were you smoking per day?"	""	""	""			""	"[eversmoked_c938bc] = '1'"	""	""		""		""
"startstopsmoking"	"phone_screen"	""	"notes"	"When did you start and stop smoking?"	""	""	""			""	"[eversmoked_c938bc] = '1'"	""	""		""		""
"glassescontacts"	"phone_screen"	""	"dropdown"	"Do you wear glasses or contacts?"	"1, Glasses | 2, Contacts | 3, Both | 4, None"	""	""			""	""	""	""		""		""
"glassescontactsmore"	"phone_screen"	""	"text"	"Do you wear glasses or contacts more?"	""	""	""			""	"[glassescontacts] = '3'"	""	""		""		""
"sighted"	"phone_screen"	""	"dropdown"	"Near or far sighted?"	"1, Near sighted | 2, Far sighted | 3, Normal | 4, Not sure"	"Near sighted means that it is easier to see objects that are close to you. Far sighted means that it is easier to see things that are further away from you."	""			""	""	""	""		""		""
"righteyeprescrip"	"phone_screen"	""	"text"	"Prescription in right eye "	""	""	""			""	""	""	""		""		""
"leftteyeprescrip"	"phone_screen"	""	"text"	"Prescription in left eye "	""	""	""			""	""	""	""		""		""
"astigmatism"	"phone_screen"	""	"dropdown"	"Astigmatism"	"1, Yes | 2, No | 3, Not sure"	"An imperfection in the curvature of your eye. The condition can cause blurred vision."	""			""	""	""	""		""		""
"lowbackpainint_2"	"phone_screen"	"Pain Follow-Up Questions\n\n\n\n"	"dropdown"	"In the past month\nHow would you rate your low-back pain on average? \n"	"0, 0 (no pain) | 1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8 | 9, 9 | 10, 10 (Worst Imaginable Pain)"	""	""			""	""	""	"RH"		""		""
"painmeds"	"phone_screen"	""	"yesno"	"Do you take any medications for your back pain?"	""	""	""			""	""	""	""		""		""
"painmeds_describe"	"phone_screen"	""	"text"	"What medications are you taking?"	""	""	""			""	"[painmeds] = '1'"	""	""		""		""
"painmeds_startdate"	"phone_screen"	""	"text"	"<div class=\"rich-text-field-label\"><p>When did you start taking them?<br /><br /><br /><em>(Exclude if less than 3 months ago for antidepressants or opiates)</em></p></div>"	""	""	""			""	"[painmeds] = '1'"	""	""		""		""
"painmeds_startsoon"	"phone_screen"	""	"yesno"	"<div class=\"rich-text-field-label\"><p>Do you have any plans to start new medications in the next few months? <br /><br /><br /><em>(possibly exclude if yes, ask if willing to wait until end of study)</em></p></div>"	""	""	""			""	""	""	""		""		""
"injection_yn"	"phone_screen"	""	"yesno"	"Have you ever had a steroid, botox, platelet-rich plasma (PRP) or prolotherapy injection to or near the spine?\t"	""	""	""			""	""	""	""		""		""
"injection_when"	"phone_screen"	""	"text"	"<div class=\"rich-text-field-label\"><p>When did you have the injection/treatment?<br /><br /><em>(exclude if less than 3 months ago)</em></p></div>"	""	""	""			""	"[injection_yn] = '1'"	""	""		""		""
"injections_soon"	"phone_screen"	""	"yesno"	"<div class=\"rich-text-field-label\"><p>Do you have any plans to have any of these injections in the next 3 months?<br /><br /><em>(possibly exclude if yes, ask if willing to wait until end of study)</em></p></div>"	""	""	""			""	""	""	""		""		""
"mrifollowup"	"phone_screen"	"MRI Screening: In this section we will be asking you questions to ensure that you can currently, safely undergo an MRI. \n"	"notes"	"<div class=\"rich-text-field-label\"><p>Follow up on any unclear answers from online screener.<br /><br /><span style=\"font-weight: normal;\"><em>MRI related exclusion criteria: Cardiac pacemaker, metal fragments in eyes/skin/body (shrapnel), subjects who have ever been a metal worker/welder; history of eye surgery/eyes washed out because of metal, aortic aneurysm clips, prosthesis, by-pass surgery/coronary artery clips, hearing aid, heart valve replacement, subjects with an I.U.D, a shunt (ventricular or spinal), electrodes, metal plates/pins/screws/wires, or neuro/bio-stimulators (TENS unit), vision problems uncorrectable with lenses, claustrophobia; inability to lie still on one's back for approximately 60 minutes; prior neurosurgery; older tattoos with metal dyes; unwillingness to remove nose, ear or face jewelry, braces or permanent dental retainers. </em></span></p></div>"	""	""	""			""	""	""	""		""		""
"weight_mri"	"phone_screen"	""	"text"	"<div class=\"rich-text-field-label\"><p>What is your weight in pounds?<br /><br /><em>(if above 300lbs, may not fit in MRI)</em></p></div>"	""	""	""			""	""	""	""		""		""
"antidepressants_5a5f42"	"phone_screen"	"Medications: In this section we will be asking you questions about medications.\n"	"dropdown"	"Are you currently taking anti-depressants?"	"1, Yes | 2, No | 3, Not sure | 4, Declined to answer"	""	""			""	""	""	""		""		""
"antidepressantswhich_52342f"	"phone_screen"	""	"notes"	"If yes, which ones?"	""	"Name and dose"	""			""	"[antidepressants_5a5f42] = '1'"	""	""		""		""
"antidepressantshowlong_635443"	"phone_screen"	""	"text"	"If yes, how long have you been taking anti-depressants?"	""	""	""			""	"[antidepressants_5a5f42] = '1'"	""	""		""		""
"antidepressantspast_604434"	"phone_screen"	""	"dropdown"	"Have you taken anti-depressants in the past?"	"1, Yes | 2, No | 3, Not sure | 4, Declined to answer"	""	""			""	""	""	""		""		""
