StartDate	EndDate	Progress	Duration(inseconds)	Finished	RecordedDate	ResponseId	DistributionChannel	UserLanguage	Q29	Q26	Q1	Q2	Q3	Q4	Q5	Q55TEXT	Q7	Q75TEXT	Q11	Q113TEXT	Q114TEXT	Q115TEXT	Q9	Q93TEXT	Q15	Q156TEXT	Q17	Q173TEXT	Q174TEXT	Q20	Q21	Q22	Q23	Q24	Q25
"43949.522222222222"	"43949.522916666669"	"100"	"32"	"1"	"43949.522916666669"	"R_33CgOtx962RCibY"	"anonymous"	"EN"	"I consent"	"0874h"	"No"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"43949.519444444442"	"43949.523611111108"	"100"	"383"	"1"	"43949.523611111108"	"R_2uvv2h8qiZjGJbp"	"anonymous"	"EN"	"I consent"	"4879R"	"Yes"	">1 year"	"0-2"	"21-30"	"Inner Ring Suburban >10,000 (e.g. Cleveland: Lakewood, Cleveland Heights, Euclid; Columbus: Merion Village, Eastmoor)"	""	"Low"	""	"Emergency"	""	""	""	"Scribe America"	""	"Other (Please describe, include smaller hospitals of UH/CCF/MetroHealth, e.g. UH Pharma)"	"Steward Health Network/Valley Care "	"Yes"	""	""	"Extremely helpful"	"It provided a basis of medical knowledge and a familiarance with medical terms."	"Extremely helpful"	"Medical terminology, documentation experience, medical knowledge "	"Extremely helpful"	""
"43949.518055555556"	"43949.524305555555"	"100"	"562"	"1"	"43949.524305555555"	"R_1oAO8wt5TNdsT6h"	"anonymous"	"EN"	"I consent"	"2305d"	"Yes"	">1 year"	"5 or more"	"31-40"	"Urban Metro area >300,000 (e.g. Cleveland-Akron, Columbus, Cincinnati)"	""	"Middle"	""	"Primary Care (please specify)"	""	"family medicine/express care/neurodevelopmental prediatrics"	""	"Scribe America"	""	"MetroHealth, main campus"	""	"Yes"	""	""	"Very helpful"	"knowledge of how a clinic works/pathophysiology/knowledge of the health care"	"Very helpful"	""	"A fair amount"	""
"43949.521527777775"	"43949.525694444441"	"100"	"348"	"1"	"43949.525694444441"	"R_1jpMn6adxPvUqsZ"	"anonymous"	"EN"	"I consent"	"4499L"	"Yes"	"7-12 months"	"0-2"	"45981"	"Inner Ring Suburban >10,000 (e.g. Cleveland: Lakewood, Cleveland Heights, Euclid; Columbus: Merion Village, Eastmoor)"	""	"Mixed"	""	"Specialty Medicine (please specify)"	""	""	"Urology"	"Other (please describe)"	"Not through a company"	"Other (Please describe, include smaller hospitals of UH/CCF/MetroHealth, e.g. UH Pharma)"	"in Columbia, SC - I worked for a private practice urology group"	"Yes"	""	""	"Very helpful"	"CTAC encounters are much easier since I have been writing visit notes for a long time. I also know a lot already about conditions related to male reproductive and kidney."	"Extremely helpful"	"I am much more comfortable in the room with a patient. I am not stressed out by writing the note and my CCE preceptors were very impressed by my skills."	"A fair amount"	""
"43949.523611111108"	"43949.525694444441"	"100"	"185"	"1"	"43949.525694444441"	"R_ApTd6uyrclndjtT"	"anonymous"	"EN"	"I consent"	"8201 G"	"Yes"	">1 year"	"5 or more"	"31-40"	"Inner Ring Suburban >10,000 (e.g. Cleveland: Lakewood, Cleveland Heights, Euclid; Columbus: Merion Village, Eastmoor)"	""	"Middle"	""	"Emergency"	""	""	""	"Scribe America"	""	"Other (Please describe, include smaller hospitals of UH/CCF/MetroHealth, e.g. UH Pharma)"	"Aultman in Canton, Ohio. Also worked family medicine at multiple different Metro Health sites and University Hospital sites. As well as geriatrics"	"Yes"	""	""	"Very helpful"	"Very helpful first year with terminology and typing during CTACs. As well as random bits during acute (since I worked in the ER, I had a general idea of how to treat / diagnose different diseases)"	"A little bit"	""	"A fair amount"	""
"43949.524305555555"	"43949.527777777781"	"100"	"329"	"1"	"43949.527777777781"	"R_32LazAnE0SZCx5p"	"anonymous"	"EN"	"I consent"	"1083 J"	"Yes"	">1 year"	"5 or more"	"31-40"	"Urban Metro area >300,000 (e.g. Cleveland-Akron, Columbus, Cincinnati)"	""	"Mixed"	""	"Specialty Medicine (please specify)"	""	""	"Electrophysiology, Interventional Cardiology, Nephrology"	"Scribe America"	""	"University Hospitals, main campus,Other (Please describe, include smaller hospitals of UH/CCF/MetroHealth, e.g. UH Pharma)"	"UC Health (University of Cincinnati)"	"Yes"	""	""	"Extremely helpful"	"The entire arrhythmia portion of our education this year was basically review, as with much of the kidney portions."	"Extremely helpful"	"Having a thorough understanding of how various physicians go about patient encounters helps me to spot the differences in clinical practice here at OU vs. real-world encounters - what works for one, what works for the other, things like that. "	"Extremely helpful"	"In a perfect world, I would nearly mandate medical scribing for those that want to be a physician! It was so incredibly helpful. "
"43949.524305555555"	"43949.534722222219"	"100"	"919"	"1"	"43949.534722222219"	"R_23W6cruF7oq4rcQ"	"anonymous"	"EN"	"I consent"	"1171M"	"Yes"	"7-12 months"	"45720"	"31-40"	"Other (please describe)"	"Urban &gt;70,000 (Canton, OH)"	"Mixed"	""	"Emergency"	""	""	""	"Scribe America"	""	"Other (Please describe, include smaller hospitals of UH/CCF/MetroHealth, e.g. UH Pharma)"	"Aultman Hospital"	"Yes"	""	""	"Extremely helpful"	"I have seen the impact more so in acute than wellness. I feel that it has helped me know which symptoms go with which differentials and the tests that you should use as more of a gut reflex than really having to study them. Additionally, when it comes to pharmacology, I have been able to think back to my time in the ED and associate the drugs that I know the providers used in situations with the drugs we are currently learning which helps me remember their use and MOA."	"Very helpful"	"I feel that being a scribe helped me to have a better sense of what was going on at my CCEs, even with things that we hadn't learned in class yet. For example, at my first CCE the doctor I was with started poking the feet of her patient with a sharp object as part of a well visit. When we left the room, I asked the doctor if she had been checking for diabetic neuropathy and she had been. We hadn't learned about diabetic neuropathy in class yet, so this was something that I learned in the ED. I also think that it helps me follow the doctor's line of questioning while in the room. As far as my leading the interview, I do think that it was helpful but I often find that I think of key questions that I know should have been asked during the interview after I am out of the room and/or while presenting to the physician. "	"Extremely helpful"	"I was initially hesitant about working as a scribe during my gap year. However, I could not be more happy that I did it. I had very little medical exposure before my time as a scribe and this experience opened my eyes. With all of the medical exposure and everything that I learned as a scribe, I would recommend it to anyone wanting to enter the medical field."
"43949.540972222225"	"43949.541666666664"	"100"	"29"	"1"	"43949.541666666664"	"R_z6Wm5vVXwKibTFv"	"anonymous"	"EN"	"I consent"	"1006w"	"No"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"43949.540972222225"	"43949.541666666664"	"100"	"43"	"1"	"43949.541666666664"	"R_wNVnjLgcgFghYpr"	"anonymous"	"EN"	"I consent"	"2404c"	"No"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"43949.543055555558"	"43949.543055555558"	"100"	"44"	"1"	"43949.543055555558"	"R_ZmMdFth1pA1uuDD"	"anonymous"	"EN"	"I consent"	"1914M"	"No"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"43949.540277777778"	"43949.543749999997"	"100"	"308"	"1"	"43949.543749999997"	"R_eCGQb2aBrMXIv5L"	"anonymous"	"EN"	"I consent"	"4214J"	"Yes"	">1 year"	"5 or more"	"31-40"	"Urban Metro area >300,000 (e.g. Cleveland-Akron, Columbus, Cincinnati)"	""	"Mixed"	""	"Emergency"	""	""	""	"Other (please describe)"	"ESI"	"Other (Please describe, include smaller hospitals of UH/CCF/MetroHealth, e.g. UH Pharma)"	"Mount Carmel"	"Yes"	""	""	"Very helpful"	"Being familiar with medical terminology, various patient presentations etc "	"Very helpful"	"Being familiar with , components of a medical chart, physician bedside manner, etc"	"Very helpful"	"It helped reassure me that this was the career I wanted to do every day and gave me a glimpse of what to expect. "
"43949.54791666667"	"43949.548611111109"	"100"	"56"	"1"	"43949.548611111109"	"R_1FxEkZoyUvUuC2o"	"anonymous"	"EN"	"I consent"	"1615l"	"No"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"43949.546527777777"	"43949.553472222222"	"100"	"622"	"1"	"43949.553472222222"	"R_51GbRJyPDdwywdX"	"anonymous"	"EN"	"I consent"	"2733A"	"Yes"	">1 year"	"45720"	"31-40"	"Inner Ring Suburban >10,000 (e.g. Cleveland: Lakewood, Cleveland Heights, Euclid; Columbus: Merion Village, Eastmoor)"	""	"Low"	""	"Emergency"	""	""	""	"Other (please describe)"	"Elite Medical Scribes"	"Other (Please describe, include smaller hospitals of UH/CCF/MetroHealth, e.g. UH Pharma)"	"Mercy Health"	"Yes"	""	""	"Very helpful"	"Med terminology, clinical knowledge, note writing "	"Very helpful"	"Knowledge of diagnoses, diagnostic testing, history and physical "	"Very helpful"	""
"43949.551388888889"	"43949.556944444441"	"100"	"455"	"1"	"43949.556944444441"	"R_2dKlvEfROoV9m8r"	"anonymous"	"EN"	"I consent"	"8640 C"	"Yes"	">1 year"	"5 or more"	">40"	"Urban Metro area >300,000 (e.g. Cleveland-Akron, Columbus, Cincinnati)"	""	"Low"	""	"Specialty Surgery (please specify)"	"Urology, also worked primarily as ER scribe but cannot select two"	""	""	"Other (please describe)"	"Emergency Services Inc, Central Ohio Urology"	"Other (Please describe, include smaller hospitals of UH/CCF/MetroHealth, e.g. UH Pharma)"	"Mount Carmel health system"	"Unsure (please specify)"	"It may have, not entirely sure since it took 3 cycles to get in"	""	"Extremely helpful"	"Placing diseases into the context of an already-developed framework is much easier than learning all of it anew. I would say I am one of the top performers in my class because of it."	"Extremely helpful"	"Can recall many procedures and practices in the ER, lots of little clinical tidbits picked up over the course of 2 years as a scribe"	"Extremely helpful"	""
"43949.5625"	"43949.563194444447"	"100"	"30"	"1"	"43949.563194444447"	"R_7ai8YwT2Qeurxrr"	"anonymous"	"EN"	"I consent"	"6491AR"	"No"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"43949.563888888886"	"43949.568055555559"	"100"	"352"	"1"	"43949.568055555559"	"R_3NPsliFxT9HFXqk"	"anonymous"	"EN"	"I consent"	"5178M"	"Yes"	"7-12 months"	"0-2"	"21-30"	"Outer Suburb >10,000 (e.g. Cleveland: Shaker Heights, Beachwood, Westlake)"	""	"Middle"	""	"Emergency"	""	""	""	"Scribe America"	""	"Other (Please describe, include smaller hospitals of UH/CCF/MetroHealth, e.g. UH Pharma)"	"UH Parma"	"Unsure (please specify)"	""	""	"A fair amount"	"Documentation for simulated patients. Pathology of patient cases. On a few rare occasions I pulled from experience as a scribe to answer questions correctly on exams that I wouldn’t have otherwise known, I’d say this happened 5-10 times over OMS-I. "	"A fair amount"	""	"Extremely helpful"	""
"43949.572916666664"	"43949.573611111111"	"100"	"26"	"1"	"43949.573611111111"	"R_2v1yLjoUey9D5kL"	"anonymous"	"EN"	"I consent"	"2492T"	"No"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"43949.57708333333"	"43949.57916666667"	"100"	"165"	"1"	"43949.57916666667"	"R_2uHXMqCCMqfQ5wh"	"anonymous"	"EN"	"I consent"	"3014C"	"Yes"	">1 year"	"45720"	"31-40"	"Urban Metro area >300,000 (e.g. Cleveland-Akron, Columbus, Cincinnati)"	""	"Low"	""	"Emergency"	""	""	""	"Other (please describe)"	"Emergency Medical Associates (EMA)"	"Other (Please describe, include smaller hospitals of UH/CCF/MetroHealth, e.g. UH Pharma)"	"Out of state hospitals"	"Yes"	""	""	"Very helpful"	"More exposure and understanding of clinical management and diagnosis "	"Very helpful"	"Just been exposed more "	"Very helpful"	""
"43949.588194444441"	"43949.588888888888"	"100"	"81"	"1"	"43949.588888888888"	"R_3RkDc2Qi6CQXVBZ"	"anonymous"	"EN"	"I consent"	"8536"	"No"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"43949.590277777781"	"43949.591666666667"	"100"	"107"	"1"	"43949.591666666667"	"R_2AQJx9bMLSgJLM1"	"anonymous"	"EN"	"I consent"	"5103 S"	"Yes"	">1 year"	"5 or more"	"31-40"	"Urban Metro area >300,000 (e.g. Cleveland-Akron, Columbus, Cincinnati)"	""	"Low"	""	"Emergency"	""	""	""	"Other (please describe)"	"iScribeMD"	"Other (Please describe, include smaller hospitals of UH/CCF/MetroHealth, e.g. UH Pharma)"	"ProMedica"	"Yes"	""	""	"Very helpful"	"Seeing complex management of patient's with the disease states being discussed in class"	"Very helpful"	"I know how to work as part of a healthcare team"	"Very helpful"	""
"43949.595138888886"	"43949.595833333333"	"100"	"34"	"1"	"43949.595833333333"	"R_3EhfiZ7j91viVWd"	"anonymous"	"EN"	"I consent"	"2187M"	"No"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"43949.589583333334"	"43949.597916666666"	"100"	"698"	"1"	"43949.597916666666"	"R_27TL70wLamCLxOJ"	"anonymous"	"EN"	"I consent"	"8764R"	"Yes"	"7-12 months"	"45720"	"21-30"	"Inner Ring Suburban >10,000 (e.g. Cleveland: Lakewood, Cleveland Heights, Euclid; Columbus: Merion Village, Eastmoor)"	""	"Low"	""	"Emergency"	""	""	""	"Other (please describe)"	"PhysAssist which I think is now owned by another scribe company. "	"Other (Please describe, include smaller hospitals of UH/CCF/MetroHealth, e.g. UH Pharma)"	"Dayton Children's Hospital "	"Unsure (please specify)"	"I would believe it did since it gave me a lot of experience with physicians and patients, but I am not 100% sure. "	""	"Extremely helpful"	"I came into medical school knowing the language and I think it has helped me when learning about diseases being able to connect them back to the experiences I had and the patients I saw while scribing. "	"Very helpful"	"If \"N/A, no clinical experience including CCE\" means not having a CCE then since I have had them I would say it has helped with with knowing how to structure a patient interview. "	"Extremely helpful"	"I think scribing is a wonderful opportunity. I was paid at the low end of what scribes make, so I wish that would have been better to help me through college especially given the hours I would work. However, I would do it again and every time I talk with a premedical student I suggest scribing as a way to get experience. "
"43949.65347222222"	"43949.654166666667"	"100"	"30"	"1"	"43949.654166666667"	"R_2TSLzfrgHQvoFlS"	"anonymous"	"EN"	"I consent"	"6043J"	"No"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"43949.660416666666"	"43949.661805555559"	"100"	"122"	"1"	"43949.661805555559"	"R_1jdY5O2bRUPFgSP"	"anonymous"	"EN"	"I consent"	"1491N"	"Yes"	"7-12 months"	"5 or more"	"31-40"	"Rural 2-10,000 population (e.g. Ada, Sheffield Village, Loudinville)"	""	"Low"	""	"Emergency"	""	""	""	"Scribe America"	""	"Other (Please describe, include smaller hospitals of UH/CCF/MetroHealth, e.g. UH Pharma)"	"Holzer Health System "	"Yes"	""	""	"Very helpful"	"know much more about charting and EMR than other students, did not struggle with timed note taking"	"Very helpful"	"very efficient with charting "	"Very helpful"	""
"43949.67291666667"	"43949.673611111109"	"100"	"25"	"1"	"43949.673611111109"	"R_2rMxfyosg4j3Cbj"	"anonymous"	"EN"	"I consent"	"7972 E"	"No"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"43949.686805555553"	"43949.688888888886"	"100"	"169"	"1"	"43949.688888888886"	"R_21h4FIxDi2TstGC"	"anonymous"	"EN"	"I consent"	"9087A"	"No"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"43949.688194444447"	"43949.690972222219"	"100"	"209"	"1"	"43949.690972222219"	"R_oXm1g8Nbm5EYntf"	"anonymous"	"EN"	"I consent"	"6105C"	"Yes"	"7-12 months"	"5 or more"	">40"	"Urban Metro area >300,000 (e.g. Cleveland-Akron, Columbus, Cincinnati)"	""	"Mixed"	""	"Emergency"	""	""	""	"Other (please describe)"	"The Physician Group employed us directly as scribes"	"Other (Please describe, include smaller hospitals of UH/CCF/MetroHealth, e.g. UH Pharma)"	"Mount Carmel"	"Unsure (please specify)"	"Likely, but unsure. "	""	"Very helpful"	"exposure to medicine prior to medical school was the most helpful aspect. "	"Very helpful"	"Great at writing notes. "	"A fair amount"	""
"43949.700694444444"	"43949.706250000003"	"100"	"490"	"1"	"43949.706250000003"	"R_2DND1qxAbVApgmw"	"anonymous"	"EN"	"I consent"	"9838N"	"Yes"	">1 year"	"5 or more"	">40"	"Other (please describe)"	"I rotated to different offices ranging from rural to urban metro."	"Mixed"	""	"Specialty Medicine (please specify)"	""	""	"Ophthalmology"	"Other (please describe)"	"Ophthalmic scribe certified through Cincinnati Eye Institute"	"Other (Please describe, include smaller hospitals of UH/CCF/MetroHealth, e.g. UH Pharma)"	"Cincinnati Eye Institute"	"Yes"	""	""	"A little bit"	"It was mostly helpful for basic medics terminology and understanding for the first year."	"Very helpful"	"I scribed and was a technician that did ophthalmic h&ps so I feel that I was well prepared for ctac/osces and my CCEs."	"A fair amount"	"The most important thing I learned from scribing and teching prior to school was how to be a genuine advocate for patient care and understand what it was like being “at the bottom of the totem pole”. It was a very humbling experience. "
"43949.717361111114"	"43949.719444444447"	"100"	"197"	"1"	"43949.719444444447"	"R_2pXGwJHGU7BdNtr"	"anonymous"	"EN"	"I consent"	"25D"	"Yes"	"<3 months"	"45720"	"21-30"	"Rural 2-10,000 population (e.g. Ada, Sheffield Village, Loudinville)"	""	"Low"	""	"Emergency"	""	""	""	"Other (please describe)"	"Elite Medical Scribes "	"Other (Please describe, include smaller hospitals of UH/CCF/MetroHealth, e.g. UH Pharma)"	"Mercy Clermont and Mercy Mt Orab (free standing ER 45 min east of Cincy) "	"Yes"	""	""	"Very helpful"	"It introduced me into medical records and keeping notes. The CTAC clinical experiences we do are much easier since I am a proficient typist and am familiar with writing medical notes. "	"Very helpful"	"More comfortable with the format of the notes. Also a better typist. "	"A fair amount"	""
"43949.826388888891"	"43949.82708333333"	"100"	"42"	"1"	"43949.82708333333"	"R_AA7h53aANQmGvWp"	"anonymous"	"EN"	"I consent"	"6927L"	"No"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"43950.405555555553"	"43950.407638888886"	"100"	"165"	"1"	"43950.407638888886"	"R_3oRaMtNF1w4RnP8"	"anonymous"	"EN"	"I consent"	"3577L"	"Yes"	">1 year"	"45720"	"21-30"	"Urban Metro area >300,000 (e.g. Cleveland-Akron, Columbus, Cincinnati)"	""	"Low"	""	"Emergency"	""	""	""	"Scribe America"	""	"Other (Please describe, include smaller hospitals of UH/CCF/MetroHealth, e.g. UH Pharma)"	"Dayton Children's Hospital"	"Yes"	""	""	"Extremely helpful"	"It helped me understand physical exams and what certain medical terms. Most beneficial when it came to CTAC and writing soap notes in an allotted time. "	"Very helpful"	"My CCEs have been in an emergency department so I felt comfortable with the flow. "	"Extremely helpful"	""
"43950.42083333333"	"43950.42083333333"	"100"	"51"	"1"	"43950.42083333333"	"R_1nZ5lJmJT5vIcHH"	"anonymous"	"EN"	"I consent"	"3588R"	"No"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"43950.461111111108"	"43950.465277777781"	"100"	"307"	"1"	"43950.465277777781"	"R_1Hc1Z439IaslGxw"	"anonymous"	"EN"	"I consent"	"1277M"	"Yes"	">1 year"	"45720"	"21-30"	"Urban Metro area >300,000 (e.g. Cleveland-Akron, Columbus, Cincinnati)"	""	"Low"	""	"Specialty Medicine (please specify)"	""	""	"Pediatric Urgent Care"	"Scribe America"	""	"Other (Please describe, include smaller hospitals of UH/CCF/MetroHealth, e.g. UH Pharma)"	"Cincinnati Children's Hospital"	"Yes"	""	""	"A fair amount"	"I feel like there is a learning curve with medical terminology. Being a scribe gives you a head start to learn the medical terminology in your specialty. As helps with documentation. "	"Very helpful"	"Since I worked in pediatric population, I felt like I had an advantage to peds management especially on my peds and FM rotations."	"A fair amount"	""
"43951.46597222222"	"43951.46597222222"	"100"	"36"	"1"	"43951.46597222222"	"R_1iqWdSqQtBvfCiq"	"anonymous"	"EN"	"I consent"	"5538M"	"No"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"43951.272916666669"	"43951.481944444444"	"100"	"18108"	"1"	"43951.481944444444"	"R_29mKpcNWFiSt0Za"	"anonymous"	"EN"	"I consent"	"6110E"	"Yes"	"<3 months"	"5 or more"	"45981"	"Outer Suburb >10,000 (e.g. Cleveland: Shaker Heights, Beachwood, Westlake)"	""	"Middle"	""	"Primary Care (please specify)"	""	"Family medicine"	""	"Other (please describe)"	"Hired by the physician directly "	"Other (Please describe, include smaller hospitals of UH/CCF/MetroHealth, e.g. UH Pharma)"	"Central Ohio Primary Care Company"	"Unsure (please specify)"	"I wrote that I was a scribe on my application under the medical experience part"	""	"A little bit"	"It taught me the difference between a sign and symptom. "	"Not at all"	""	"Not at all"	""
"43952.461111111108"	"43952.461805555555"	"100"	"20"	"1"	"43952.461805555555"	"R_1ODoBqOs1mU4ACn"	"anonymous"	"EN"	"I consent"	"0922L"	"No"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
