WedeenURLsfromBibliography	B	C
"https://tinyurl.com/y9sho8z7"	"https://www.aljazeera.net/programs/al-jazeeraspecialprograms/2014/8/23/%D8%A7%D9%84%D8%BA%D9%88%D8%B7%D8%A9-%D8%A7%D9%84%D9%87%D8%AC%D9%88%D9%85-%D8%A7%D9%84%D9%85%D8%AF%D9%91%D8%A8%D8%B1"	"https://perma.cc/ME43-WH24"
"https://tinyurl.com/ycb45wte"	"https://www.aljazeera.com/news/2018/09/youtube-shuts-pro-syrian-government-channels-180910123713025.html"	"https://perma.cc/G3GZ-LWBK"
"https://tinyurl.com/y9p75emt"	"http://almersad.net/2013-10-31-22-27-28/4693--%D9%83%D9%8A%D9%85%D8%A7%D9%88%D9%8A-%D8%A7%D9%84%D8%BA%D9%88%D8%B7%D8%A9-%D9%87%D9%83%D8%B0%D8%A7-%D8%A7%D9%85%D8%AA%D9%84%D9%83%D8%AA-%D8%AB%D9%84%D8%A7%D8%AB%D8%A9-%D9%81%D8%B5%D8%A7%D8%A6%D9%84-%D9%85%D8%B3%D9%84%D8%AD%D8%A9-%D8%A3%D8%B3%D9%84%D8%AD%D8%A9-%D9%83%D9%8A%D9%85%D9%8A%D8%A7%D8%A6%D9%8A%D9%91%D8%A9-%D9%85%D9%86%D8%B0-%D8%B3%D9%86%D9%88%D8%A7%D8%AA.html"	"https://perma.cc/4FZP-A2S3"
"https://tinyurl.com/grh88wv"	"https://www.arab48.com/%D9%85%D9%8A%D8%AF%D9%8A%D8%A7/%D9%85%D9%8A%D8%AF%D9%8A%D8%A7/2016/08/21/%D9%83%D9%8A%D9%85%D8%A7%D9%88%D9%8A-%D8%A7%D9%84%D8%A3%D8%B3%D8%AF-%D8%A7%D9%84%D8%B0%D9%83%D8%B1%D9%89-%D8%A7%D9%84%D8%AB%D8%A7%D9%84%D8%AB%D8%A9-%D9%84%D9%85%D8%AC%D8%B2%D8%B1%D8%A9-%D8%A7%D9%84%D8%BA%D9%88%D8%B7%D8%A9"	"https://perma.cc/S6WY-ZD5D"
"https://tinyurl.com/ybbrrfrp"	"https://arabic.rt.com/middle_east/888204-%D9%85%D8%AF%D9%8A%D8%B1-cia-%D8%AC%D9%85%D8%B9%D9%86%D8%A7-%D8%A3%D8%AF%D9%84%D8%A9-%D8%AF%D8%A7%D9%85%D8%BA%D8%A9-%D8%AD%D9%88%D9%84-%D9%87%D8%AC%D9%88%D9%85-%D8%AE%D8%A7%D9%86-%D8%B4%D9%8A%D8%AE%D9%88%D9%86-%D8%AE%D9%84%D8%A7%D9%84-%D9%8A%D9%88%D9%85-%D9%88%D8%A7%D8%AD%D8%AF/"	"https://perma.cc/PN5Z-L9KW"
"https://tinyurl.com/y9c3y8yd"	"https://arabic.rt.com/middle_east/874190-%D8%B6%D8%A7%D8%A8%D8%B7-%D8%B3%D8%A7%D8%A8%D9%82-%D8%A8%D8%A7%D9%84%D9%85%D8%AE%D8%A7%D8%A8%D8%B1%D8%A7%D8%AA-%D8%A7%D9%84%D8%A3%D9%85%D8%B1%D9%8A%D9%83%D9%8A%D8%A9-%D8%A7%D9%84%D9%85%D8%B3%D8%A4%D9%88%D9%84-%D9%87%D8%AC%D9%88%D9%85-%D8%AE%D8%A7%D9%86-%D8%B4%D9%8A%D8%AE%D9%88%D9%86-%D8%A7%D9%84%D9%83%D9%8A%D9%85%D9%8A%D8%A7%D8%A6%D9%8A/"	"https://perma.cc/PG7G-BPBH"
"http://www.asharqalarabi.org.uk/barq/b-qiraat-1376.htm"	"http://www.asharqalarabi.org.uk/barq/b-qiraat-1376.htm"	"https://perma.cc/LPJ7-7XJU"
"http://breakingnews.sy/ar/article/25147.html"	"[site is down. No archived version available]"	"Not a valid URL."
"https://tinyurl.com/y9nmmz98"	"http://www.vdc-sy.info/index.php/ar/reports/chemicaldamascussuburbs"	"https://perma.cc/4NS8-59UP"
"https://www.al-akhbar.com/Opinion/93204"	"https://www.al-akhbar.com/Opinion/93204"	"https://perma.cc/A7YZ-Z3GD"
"https://tinyurl.com/ydhlgnqr"	"http://syriauntold.com/2015/02/01/%d8%a5%d8%b9%d8%a7%d8%af%d8%a9-%d8%a7%d9%84%d8%a5%d8%b9%d9%85%d8%a7%d8%b1-%d8%a8%d9%8a%d9%86-%d9%85%d8%a4%d8%b3%d8%b3%d8%a7%d8%aa-%d8%a7%d9%84%d9%86%d9%8a%d9%88%d9%84%d9%8a%d8%a8%d8%b1%d8%a7%d9%84-2/"	"https://perma.cc/2VV7-ZJHR"
"https://www.enabbaladi.net/archives/154229"	"https://www.enabbaladi.net/archives/154229"	"https://perma.cc/63MK-TN2Y"
"https://www.enabbaladi.net/archives/171441"	"https://www.enabbaladi.net/archives/171441"	"https://perma.cc/C7AR-GVU5"
"https://tinyurl.com/ybcd297p"	"https://www.france24.com/ar/20170413-%D8%B3%D9%88%D8%B1%D9%8A%D8%A7-%D8%A7%D9%84%D8%A3%D8%B3%D8%AF-%D8%AE%D8%A7%D9%86-%D8%B4%D9%8A%D8%AE%D9%88%D9%86-%D8%B3%D9%84%D8%A7%D8%AD-%D9%83%D9%8A%D9%85%D9%8A%D8%A7%D8%A6%D9%8A"	"https://perma.cc/WEA5-SJ4G"
"http://aljumhuriya.net/35465"	"https://www.aljumhuriya.net/ar/content/%D8%A7%D9%84%D9%8A%D9%88%D9%85-%D8%A7%D9%84%D9%85%D8%AC%D9%84%D9%84-%D8%A8%D8%A7%D9%84%D8%B9%D8%A7%D8%B1-%D9%88%D8%B1%D8%B9%D8%A7%D8%AA%D9%87-%D9%88%D8%B9%D8%A7%D9%84%D9%85%D9%87"	"https://perma.cc/RQM6-R4KF"
"http://www.kalamonreview.org/articles-details-122"	"http://www.kalamonreview.org/articles-details-122"	"https://perma.cc/T7JZ-4562"
"http://aljumhuriya.net/33487"	"https://www.aljumhuriya.net/33487"	"https://perma.cc/GR6J-BND4"
"https://tinyurl.com/y8hlv3vw"	"https://aljaras.com/%D8%A3%D8%A8%D8%B7%D8%A7%D9%84%D9%87-%D9%86%D8%AD%D9%86-%D9%88%D8%A3%D8%AD%D8%AF%D8%A7%D8%AB%D9%87-%D9%82%D8%B5%D8%AA%D9%86%D8%A7-%D8%B3%D9%86%D8%B9%D9%88%D8%AF-%D8%A8%D8%B9%D8%AF-%D9%82%D9%84%D9%8A/"	"https://perma.cc/M6TD-72VQ"
"https://tinyurl.com/y7gdoqav"	"https://www.elwatannews.com/news/details/486526"	"https://perma.cc/65WS-BRAF"
"https://tinyurl.com/yd3kw9m4"	"https://lb.boell.org/en/2014/03/03/syrian-revolutionaries-owe-nobody-apology-conflict-intl-politics"	"https://perma.cc/EX39-UCUW"
"https://www.bidayatmag.com/node/349"	"https://www.bidayatmag.com/node/349"	"https://perma.cc/3EZV-SLN6"
"https://tinyurl.com/y9efxsyc"	"https://hunasotak.com/article/366"	"https://perma.cc/JBL4-QCV6"
"https://tinyurl.com/y9ecd26n"	"https://www.alquds.co.uk/%d9%87%d9%84-%d9%88%d8%b5%d9%84-%d9%85%d8%a7%d8%a1-%d8%a7%d9%84%d9%81%d8%b6%d8%a9-%d8%a5%d9%84%d9%89-%d9%85%d9%87%d8%b1%d8%ac%d8%a7%d9%86-%d9%83%d8%a7%d9%86-%d8%a8%d9%82%d9%88/"	"https://perma.cc/5MGX-3AW2"
"http://www.alittihad.ae/wajhatdetails.php?id=55395"	"https://www.alittihad.ae/wejhatarticle/55395/"	"https://perma.cc/DEE6-USYK"
"https://tinyurl.com/yazsrr2v"	"https://www.aljazeera.net/news/cultureandart/2013/7/14/%d8%a7%d9%84%d8%a3%d8%b2%d9%85%d8%a9-%d8%a7%d9%84%d8%b3%d9%88%d8%b1%d9%8a%d8%a9-%d8%ad%d8%a7%d8%b6%d8%b1%d8%a9-%d8%a8%d8%a7%d9%84%d8%af%d8%b1%d8%a7%d9%85%d8%a7-%d9%81%d9%8a-%d8%b1%d9%85%d8%b6%d8%a7%d9%86"	"https://perma.cc/526B-57C3"
"https://www.alhurra.com/a/lebanon-sectarianism-tatto/395996.html"	"https://www.alhurra.com/a/lebanon-sectarianism-tatto/395996.html"	"https://perma.cc/7ENC-8CLU"
"https://tinyurl.com/y7qfa35d"	"https://www.globalresearch.ca/%D8%A7%D9%84%D8%A3%D9%85%D9%8A%D8%B1-%D8%A8%D9%86%D8%AF%D8%B1%D8%8C-%D9%87%D9%84-%D9%87%D9%88-%D9%88%D8%B1%D8%A7%D8%A1-%D8%A7%D9%84%D9%87%D8%AC%D9%85%D8%A7%D8%AA-%D8%A7%D9%84%D9%83%D9%8A%D9%85%D8%A7/5350270"	"https://perma.cc/X48H-PPX7"
"https://tinyurl.com/yampsdjq"	"https://www.orient-news.net/ar/news_show/5725"	"https://perma.cc/58LJ-XQGG"
"https://tinyurl.com/y97wsuzj"	"https://caus.org.lb/PDF/EmagazineArticles/cinema_2_randa_alrahawangi.pdf"	"https://perma.cc/NY4R-AX37"
"https://tinyurl.com/y9f42azl"	"http://www.maaber.org/issue_november14/books_and_readings2.htm"	"https://perma.cc/3JSX-3QTX"
"https://www.aljumhuriya.net/16517"	"https://www.aljumhuriya.net/16517"	"https://perma.cc/GEH7-BBNY"
"https://tinyurl.com/y7dja8ca"	"http://syria.alsafahat.net/%D8%A7%D9%84%D9%86%D8%A7%D9%82%D8%AF-%D8%A7%D9%84%D8%B3%D9%88%D8%B1%D9%8A-%D8%B9%D9%84%D9%8A-%D8%B3%D9%81%D8%B1-%D8%A7%D9%84%D8%AF%D8%B1%D8%A7%D9%85%D8%A7-%D8%A7%D9%84%D8%B3%D9%88%D8%B1%D9%8A%D8%A9/"	"https://perma.cc/HD6D-EGTX"
"https://tinyurl.com/ybaff92h"	"https://www.alarabiya.net/ar/politics/2014/04/16/%D9%85%D9%86-%D8%B2%D9%88%D8%AF-%D9%87%D9%8A%D8%B1%D8%B4-%D8%A8%D8%A7%D9%84%D9%85%D8%B9%D9%84%D9%88%D9%85%D8%A7%D8%AA%D8%9F.html"	"https://perma.cc/S9W4-Y8EU"
"https://tinyurl.com/y8w4cc6h"	"https://news.sky.com/story/syria-us-using-lies-to-justify-strikes-10435446"	"https://perma.cc/F7Q4-BJ7Q"
"https://tinyurl.com/yce4wxzv"	"http://stepagency-sy.net/archives/139340"	"https://perma.cc/U76P-KYCQ"
"https://www.sana.sy/?p=427957"	"https://www.sana.sy/?p=427957"	"https://perma.cc/C6AP-2QTL"
"https://tinyurl.com/yddl2x8m"	"http://www.syriahr.com/2014/04/03/%D9%85%D9%83%D8%AA%D8%A8-%D9%84%D8%AA%D9%88%D8%AB%D9%8A%D9%82-%D8%A7%D9%84%D9%83%D9%8A%D9%85%D8%A7%D9%88%D9%8A-%D8%A7%D9%84%D8%B3%D9%88%D8%B1%D9%8A-%D8%A7%D9%84%D9%86%D8%B8%D8%A7%D9%85-%D9%84%D9%85/"	"https://perma.cc/XD8R-YYUB"
"https://tinyurl.com/ycanjc9q"	"http://www.syriahr.com/page/2/?s=%D9%85%D8%AC%D8%B2%D8%B1%D8%A9+%D8%A7%D9%84%D9%83%D9%8A%D9%85%D8%A7%D9%88%D9%8A"	"https://perma.cc/R4W6-RPSY"
"https://tinyurl.com/y7wjuf26"	"http://www.syriahr.com/2013/12/17/%D8%AD%D9%85%D9%84%D8%A9-%D8%B1%D9%88%D8%B3%D9%8A%D8%A9-%D9%81%D9%8A-%D9%85%D8%AC%D9%84%D8%B3-%D8%A7%D9%84%D8%A3%D9%85%D9%86-%D9%84%D9%80%D8%AA%D8%BA%D9%8A%D9%8A%D8%B1-%D8%B1%D9%88%D8%A7%D9%8A/"	"https://perma.cc/WS6S-3Z77"
"https://tinyurl.com/y889bbu2"	"https://syrianpc.com/archives/174568"	"https://perma.cc/7SL2-2YNU"
"http://www.tumaer.com/vb/archive/index.php/t-114514.html"	"http://www.tumaer.com/vb/archive/index.php/t-114514.html"	"https://perma.cc/CT9C-GJSL"
"https://www.youtube.com/user/wikisham"	"https://www.youtube.com/user/wikisham"	"https://perma.cc/SMB7-3TSH"
"http://podcastarabia.net/programmes/freedomwobas/5TCoJ-R56Ro"	"http://podcastarabia.net/programmes/freedomwobas/5TCoJ-R56Ro"	"https://perma.cc/687F-QML2"
"https://tinyurl.com/ybubpwcm"	"https://www.facebook.com/NCDSyria/?hc_ref=NEWSFEED&fref=nf"	"https://perma.cc/7MNP-7G3X"
"https://www.facebook.com/syria.germs?sk=wall"	"https://www.facebook.com/syria.germs?sk=wall"	"https://perma.cc/EN75-RSPR"
"http://www.cbssyr.sy/index-EN.htm"	"http://www.cbssyr.sy/index-EN.htm"	"https://perma.cc/9D2N-JPHU"
"https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/YQQ07L"	"https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/YQQ07L"	"https://perma.cc/XE84-L5EJ"
"http://syrianshuhada.com/?a=st&st=20"	"http://syrianshuhada.com/?a=st&st=20"	"https://perma.cc/WW9V-HVR9"
"https://syrianpc.com/archives/146360"	"https://syrianpc.com/archives/146360"	"Couldn't load URL."
"http://www.tradingeconomics.com/syria/gdp-growth-annual"	"https://tradingeconomics.com/syria/gdp-growth-annual"	"https://perma.cc/RKS6-MYLM"
"http://www.tradingeconomics.com/syria/inflation-cpi"	"https://tradingeconomics.com/syria/inflation-cpi"	"https://perma.cc/Q2S2-TRKP"
"http://www.vdc-sy.info/index.php/en/martyrs"	"http://www.vdc-sy.info/index.php/en/martyrs"	"https://perma.cc/7HNM-RCSB"
"http://www.vdc-sy.net"	"http://vdc-sy.net/en/"	"https://perma.cc/LX3G-QGRS"
"https://tinyurl.com/y7n6ocrc"	"https://lb.boell.org/en/2013/02/28/impact-arts-syrian-revolution"	"https://perma.cc/Y3YH-UKES"
"https://tinyurl.com/ybyjvdnh"	"https://www.rosalux.de/en/publication/id/39116/syria-the-social-origins-of-the-uprising/"	"https://perma.cc/BG73-DW9M"
"https://tinyurl.com/c8llnzy"	"https://www.aljazeera.com/indepth/opinion/2011/12/20111222162349451619.html"	"https://perma.cc/XSX9-74NF"
"https://www.merip.org/mero/interventions/dramas-authoritarian-state"	"https://merip.org/2012/02/dramas-of-the-authoritarian-state/"	"https://perma.cc/5XSP-TP9G"
"https://tinyurl.com/y7pbotql"	"https://muftah.org/irony-satire-and-humor-in-the-battle-for-syria/"	"https://perma.cc/M2XC-79GU"
"https://tinyurl.com/y7tnoqs6"	"http://media.wix.com/ugd/86a19a_7aa1c99fd6c14105a2fe1f80fc0a8300.pdf"	"https://perma.cc/4HBX-2FS6"
"https://tinyurl.com/bpxh9ee"	"https://www.aljazeera.com/indepth/opinion/2012/04/20124283638298672.html"	"https://perma.cc/3U9H-GHCF"
"https://tinyurl.com/yad6llcx"	"https://www.arabmediasociety.com/syria-under-the-spotlight-television-satire-that-is-revolutionary-in-form-reformist-in-content/"	"https://perma.cc/5HJM-9QRM"
"https://tinyurl.com/yc4bl5jj"	"https://climateandsecurity.org/2012/02/29/syria-climate-change-drought-and-social-unrest/"	"https://perma.cc/3Z6F-GSBP"
"https://tinyurl.com/ybjz94z4"	"https://www.mepc.org/roots-alawite-sunni-rivalry-syria"	"https://perma.cc/UQ4S-UDTQ"
"https://www.mepc.org/troubles-syria-spawned-french-divide-and-rule"	"https://www.mepc.org/troubles-syria-spawned-french-divide-and-rule"	"https://perma.cc/TFH5-NSQN"
"https://tinyurl.com/y8993x8a"	"https://www.nytimes.com/2012/04/08/opinion/sunday/friedman-the-other-arab-spring.html?mcubz=3"	"https://perma.cc/K3JV-2NRF"
"https://www.lebtivity.com/event/lebanon-as-object-cause-of-desire-a-public-talk-by-rohit-goel-in-conversation-with-walid-sadek"	"https://www.lebtivity.com/event/lebanon-as-object-cause-of-desire-a-public-talk-by-rohit-goel-in-conversation-with-walid-sadek"	"https://perma.cc/ED6N-E2E6"
"http://www.jp-india.org/uploads/newsletters/pdfs/41_pdf.pdf"	"http://www.jp-india.org/errordocs/404?m=fnf"	"https://perma.cc/5378-K8K8"
"https://tinyurl.com/kmelblf"	"https://www.lrb.co.uk/v36/n08/seymour-m-hersh/the-red-line-and-the-rat-line"	"https://perma.cc/H948-ZSK7"
"https://tinyurl.com/kkwkn3p"	"https://www.lrb.co.uk/v35/n24/seymour-m-hersh/whose-sarin"	"https://perma.cc/S88B-N55Y"
"https://tinyurl.com/y83yfzt5"	"http://archive.harpers.org/1964/11/pdf/HarpersMagazine-1964-11-0014706.pdf?AWSAccessKeyId=AKIAJXATU3VRJAAA66RA&Expires=1505168579&Signature=CbFLqjDMyytCPOUy09HRDXnmzGs%3D"	"https://perma.cc/8NGC-7NVK"
"http://library.fes.de/pdf-files/iez/09825.pdf"	"http://library.fes.de/pdf-files/iez/09825.pdf"	"https://perma.cc/R4CF-4J8S"
"https://tinyurl.com/yc577bqf"	"https://carnegie-mec.org/2015/11/04/assad-sofficer-ghetto-why-syrian-army-remains-loyal-pub-61449"	"https://perma.cc/YC4P-K827"
"https://tinyurl.com/y754ayg8"	"https://carnegie-mec.org/2016/07/28/coast-in-conflict-migration-sectarianism-and-decentralization-in-syria-s-latakia-and-tartus-governorates-pub-64198"	"https://perma.cc/HQ6F-39V5"
"https://tinyurl.com/yc52bsvq"	"https://merip.org/2014/01/the-struggle-for-syrias-regions/"	"https://perma.cc/R2KV-RUK3"
"https://tinyurl.com/y89pddet"	"https://gking.harvard.edu/files/gking/files/50c.pdf"	"https://perma.cc/Q4H5-Q8AC"
"https://tinyurl.com/ya79ol93"	"https://www.mei.edu/publications/all-presidents-militias-assads-militiafication-syria"	"https://perma.cc/5ZP8-SV4K"
"https://tinyurl.com/y8j8cc6e"	"http://www.mepc.org/journal/syria-and-financial-crisis-prospects-reform"	"https://perma.cc/3GM8-W9Z2"
"http://hypocritereader.com/5/depressive-realism"	"http://hypocritereader.com/5/depressive-realism"	"https://perma.cc/N8HH-9D6A"
"https://tinyurl.com/y8s5u2yd"	"https://merip.org/1999/03/dreamland-the-neoliberalism-of-your-desires/"	"https://perma.cc/RQE4-FSNN"
"https://doi.org/10.1215/01642472-2006-029"	"https://read.dukeupress.edu/social-text/article/25/2%20(91)/103/33538/The-War-DriveIMAGE-FILES-CORRUPTED"	"https://perma.cc/4LD3-5ZHU"
"https://tinyurl.com/y7z48w55"	"http://www.jadaliyya.com/Details/25966/Prelude-to-an-Uprising-Syrian-Fictional-Television-and-Socio-Political-Critique"	"https://perma.cc/7KER-QCBM"
